Date,BCI,BCIp,BCIg
1/3/80,102.5,-76.1,-4.7
1/10/80,101.8,-85.6,-5.6
1/17/80,102,-83.2,-6.3
1/24/80,101.9,-85.4,-6.5
1/31/80,101.6,-89.3,-6.6
2/7/80,101.1,-97,-6.6
2/14/80,101,-97.7,-6.7
2/21/80,100.3,-108,-7
2/28/80,99.8,-116,-7.5
3/6/80,99.3,-123.2,-7.9
3/13/80,98.1,-140.6,-8.8
3/20/80,97,-155.9,-9.9
3/27/80,95.5,-178.5,-11.3
4/3/80,94.8,-188.8,-12.8
4/10/80,94.6,-191.2,-13.9
4/17/80,94.1,-199,-14.7
4/24/80,93.1,-213.8,-15.2
5/1/80,92.2,-226.3,-15.8
5/8/80,91.4,-238.6,-16.7
5/15/80,90.2,-255.9,-17.8
5/22/80,89.7,-263.8,-18.7
5/29/80,88.3,-284.9,-19.8
6/5/80,86.7,-307.8,-21.1
6/12/80,86.1,-316.6,-22.2
6/19/80,85.7,-322.3,-23.2
6/26/80,86.3,-313.6,-23.4
7/3/80,86.5,-310.2,-22.8
7/10/80,86.8,-306.5,-21.8
7/17/80,87.1,-301.2,-20.5
7/24/80,87.7,-292.5,-19.3
7/31/80,88.5,100,-17.8
8/7/80,88.8,100,-16.2
8/14/80,89.5,100,-14.5
8/21/80,89.6,100,-13.1
8/28/80,90.6,100,-11.5
9/4/80,90.9,100,-9.9
9/11/80,91.3,100,-8.4
9/18/80,92.1,100,-6.6
9/25/80,92.9,100,-4.9
10/2/80,92.5,93.5,-3.5
10/9/80,93.3,100,-1.9
10/16/80,93.6,100,-0.6
10/23/80,94,100,0.6
10/30/80,93.4,89.1,1.6
11/6/80,93,82.5,2
11/13/80,93.6,92.2,2.5
11/20/80,94.8,100,3.4
11/27/80,95.1,100,4.7
12/4/80,94.7,92.9,6.1
12/11/80,94,80.2,6.7
12/18/80,93.5,71.3,6.5
12/25/80,94.2,84.5,6.5
1/1/81,94.7,91.9,6.9
1/8/81,94.6,91.6,7.6
1/15/81,94,80.2,8.2
1/22/81,93.9,78.1,8.3
1/29/81,93.2,65.4,7.9
2/5/81,92.7,57.6,7.2
2/12/81,92.7,56.9,6.8
2/19/81,92.3,50.7,6.3
2/26/81,91.4,35,5.7
3/5/81,91.5,36.7,5.5
3/12/81,91.6,37.8,5.2
3/19/81,92,45,5.3
3/26/81,92.2,48.4,6
4/2/81,92.2,47.9,6.6
4/9/81,92,45,7
4/16/81,91.7,40.3,7
4/23/81,92,44.6,7
4/30/81,91.7,39.7,6.8
5/7/81,90.9,25.6,6.3
5/14/81,90.3,15.1,5.6
5/21/81,90.3,15.3,4.7
5/28/81,89.9,7.2,3.8
6/4/81,89.4,-0.2,3
6/11/81,88.8,-11.7,2.1
6/18/81,88.9,-10.4,1.3
6/25/81,88.5,-16.2,0.5
7/2/81,88.2,-23,-0.3
7/9/81,87.2,-40.6,-1.2
7/16/81,87.3,-37.8,-2.1
7/23/81,87.3,-38.2,-2.8
7/30/81,86.4,-54.9,-3.7
8/6/81,86.1,-59.8,-4.2
8/13/81,86.1,-59.9,-4.8
8/20/81,85.2,-75.2,-5.8
8/27/81,84.3,-91.3,-6.7
9/3/81,83.5,-105.5,-7.9
9/10/81,82.7,-119.5,-9.4
9/17/81,82.7,-119.1,-10.4
9/24/81,81.6,-138,-11.4
10/1/81,80.5,-158,-12.5
10/8/81,80.4,-160.1,-13.3
10/15/81,80.2,-162.9,-14.1
10/22/81,79.7,-172.6,-14.7
10/29/81,78.8,-187.9,-15
11/5/81,78.7,-190.8,-15.4
11/12/81,78.2,-198,-15.9
11/19/81,77.5,-212.1,-16.5
11/26/81,77.3,-214,-16.8
12/3/81,77.3,-215,-16.9
12/10/81,77.2,-217,-16.9
12/17/81,76.4,-230,-16.8
12/24/81,76.4,-231.4,-16.7
12/31/81,76,-238.1,-16.8
1/7/82,75.5,-246.6,-17
1/14/82,74.9,-257.2,-17.2
1/21/82,74.9,-256.6,-17.2
1/28/82,75.1,-253.9,-17.1
2/4/82,75.6,-243.9,-16.3
2/11/82,75.4,-248.2,-15.4
2/18/82,75,-255.5,-14.8
2/25/82,74,-273.1,-14.7
3/4/82,73.3,-286.1,-15.4
3/11/82,72.3,-303.3,-16.4
3/18/82,71.8,-311.6,-17.4
3/25/82,72,-308.8,-17.8
4/1/82,71.5,-316.8,-18
4/8/82,71.4,-318.3,-17.7
4/15/82,71.3,-320.1,-17.3
4/22/82,70.9,-327.7,-17.1
4/29/82,70.7,-331,-16.8
5/6/82,70.4,-336.5,-16.6
5/13/82,70.4,-336.4,-16.3
5/20/82,69.9,-344.8,-16.1
5/27/82,69.1,-359.8,-16.2
6/3/82,68.1,-376.6,-16.7
6/10/82,67.8,-383.2,-17.4
6/17/82,67.3,-390.6,-18.1
6/24/82,66.8,-399.9,-18.5
7/1/82,67.3,-391.8,-18.2
7/8/82,67.2,-393,-17.7
7/15/82,67.2,-392.4,-17
7/22/82,67.7,-385.1,-15.7
7/29/82,67.2,-393.4,-15
8/5/82,66.6,-403.5,-14.6
8/12/82,66,-413.9,-14.5
8/19/82,66,-414.4,-14.7
8/26/82,67,-396.2,-14
9/2/82,67.5,-388.6,-12.7
9/9/82,67.8,-382.9,-10.9
