DATE,CSUSHPISA
1987-01-01,63.986999999999995
1987-02-01,64.446
1987-03-01,64.76100000000001
1987-04-01,65.153
1987-05-01,65.584
1987-06-01,66.08800000000001
1987-07-01,66.52
1987-08-01,66.947
1987-09-01,67.34100000000001
1987-10-01,67.753
1987-11-01,68.119
1987-12-01,68.52199999999999
1988-01-01,68.873
1988-02-01,69.277
1988-03-01,69.654
1988-04-01,69.985
1988-05-01,70.432
1988-06-01,70.89399999999999
1988-07-01,71.361
1988-08-01,71.806
1988-09-01,72.247
1988-10-01,72.645
1988-11-01,73.082
1988-12-01,73.473
1989-01-01,73.953
1989-02-01,74.387
1989-03-01,74.786
1989-04-01,75.089
1989-05-01,75.31
1989-06-01,75.482
1989-07-01,75.663
1989-08-01,75.84
1989-09-01,76.059
1989-10-01,76.289
1989-11-01,76.528
1989-12-01,76.706
1990-01-01,76.89699999999999
1990-02-01,77.053
1990-03-01,77.202
1990-04-01,77.279
1990-05-01,77.297
1990-06-01,77.255
1990-07-01,77.135
1990-08-01,77.002
1990-09-01,76.84100000000001
1990-10-01,76.695
1990-11-01,76.37100000000001
1990-12-01,76.178
1991-01-01,75.908
1991-02-01,75.732
1991-03-01,75.572
1991-04-01,75.56
1991-05-01,75.762
1991-06-01,75.98899999999999
1991-07-01,76.075
1991-08-01,76.101
1991-09-01,76.186
1991-10-01,76.071
1991-11-01,76.025
1991-12-01,76.044
1992-01-01,76.081
1992-02-01,76.15100000000001
1992-03-01,76.27199999999999
1992-04-01,76.34100000000001
1992-05-01,76.393
1992-06-01,76.329
1992-07-01,76.265
1992-08-01,76.23
1992-09-01,76.23899999999999
1992-10-01,76.38
1992-11-01,76.57
1992-12-01,76.678
1993-01-01,76.786
1993-02-01,76.839
1993-03-01,76.869
1993-04-01,76.936
1993-05-01,77.035
1993-06-01,77.242
1993-07-01,77.431
1993-08-01,77.61399999999999
1993-09-01,77.796
1993-10-01,77.947
1993-11-01,78.16
1993-12-01,78.332
1994-01-01,78.596
1994-02-01,78.733
1994-03-01,78.861
1994-04-01,78.994
1994-05-01,79.22800000000001
1994-06-01,79.431
1994-07-01,79.605
1994-08-01,79.79
1994-09-01,79.926
1994-10-01,80.072
1994-11-01,80.158
1994-12-01,80.304
1995-01-01,80.435
1995-02-01,80.543
1995-03-01,80.613
1995-04-01,80.67699999999999
1995-05-01,80.719
1995-06-01,80.801
1995-07-01,80.953
1995-08-01,81.127
1995-09-01,81.324
1995-10-01,81.5
1995-11-01,81.639
1995-12-01,81.757
1996-01-01,81.85600000000001
1996-02-01,81.977
1996-03-01,82.215
1996-04-01,82.44
1996-05-01,82.62899999999999
1996-06-01,82.775
1996-07-01,82.954
1996-08-01,83.113
1996-09-01,83.28200000000001
1996-10-01,83.40299999999999
1996-11-01,83.57700000000001
1996-12-01,83.74600000000001
1997-01-01,83.98
1997-02-01,84.206
1997-03-01,84.475
1997-04-01,84.65100000000001
1997-05-01,84.89200000000001
1997-06-01,85.111
1997-07-01,85.361
1997-08-01,85.602
1997-09-01,85.88
1997-10-01,86.176
1997-11-01,86.66
1997-12-01,87.12
1998-01-01,87.648
1998-02-01,88.037
1998-03-01,88.473
1998-04-01,88.90799999999999
1998-05-01,89.39299999999999
1998-06-01,89.87299999999999
1998-07-01,90.338
1998-08-01,90.814
1998-09-01,91.286
1998-10-01,91.743
1998-11-01,92.22399999999999
1998-12-01,92.734
1999-01-01,93.238
1999-02-01,93.70100000000001
1999-03-01,94.245
1999-04-01,94.815
1999-05-01,95.374
1999-06-01,96.00399999999999
1999-07-01,96.62
1999-08-01,97.24700000000001
1999-09-01,97.89299999999999
1999-10-01,98.555
1999-11-01,99.18799999999999
1999-12-01,99.874
2000-01-01,100.555
2000-02-01,101.34100000000001
2000-03-01,102.12799999999999
2000-04-01,102.92299999999999
2000-05-01,103.678
2000-06-01,104.425
2000-07-01,105.055
2000-08-01,105.76899999999999
2000-09-01,106.538
2000-10-01,107.382
2000-11-01,108.3
2000-12-01,109.134
2001-01-01,109.851
2001-02-01,110.50399999999999
2001-03-01,111.111
2001-04-01,111.65299999999999
2001-05-01,112.164
2001-06-01,112.79799999999999
2001-07-01,113.494
2001-08-01,114.171
2001-09-01,114.814
2001-10-01,115.31
2001-11-01,115.85600000000001
2001-12-01,116.449
2002-01-01,117.147
2002-02-01,117.84700000000001
2002-03-01,118.691
2002-04-01,119.615
2002-05-01,120.727
2002-06-01,121.815
2002-07-01,122.88799999999999
2002-08-01,123.831
2002-09-01,124.779
2002-10-01,125.73299999999999
2002-11-01,126.666
2002-12-01,127.618
2003-01-01,128.46200000000002
2003-02-01,129.357
2003-03-01,130.151
2003-04-01,130.886
2003-05-01,131.737
2003-06-01,132.65
2003-07-01,133.77700000000002
2003-08-01,134.968
2003-09-01,136.29399999999998
2003-10-01,137.534
2003-11-01,138.797
2003-12-01,140.18200000000002
2004-01-01,141.651
2004-02-01,143.197
2004-03-01,145.065
2004-04-01,146.595
2004-05-01,148.187
2004-06-01,149.851
2004-07-01,151.338
2004-08-01,152.635
2004-09-01,154.179
2004-10-01,155.751
2004-11-01,157.528
2004-12-01,159.332
2005-01-01,161.293
2005-02-01,163.35
2005-03-01,165.82
2005-04-01,167.502
2005-05-01,169.35
2005-06-01,171.18900000000002
2005-07-01,172.859
2005-08-01,174.44299999999998
2005-09-01,176.43900000000002
2005-10-01,178.03
2005-11-01,179.685
2005-12-01,180.91400000000002
2006-01-01,182.324
2006-02-01,183.291
2006-03-01,184.36900000000003
2006-04-01,184.332
2006-05-01,184.16
2006-06-01,183.513
2006-07-01,183.076
2006-08-01,182.604
2006-09-01,182.808
2006-10-01,183.207
2006-11-01,183.615
2006-12-01,184.143
2007-01-01,184.52
2007-02-01,184.6
2007-03-01,184.155
2007-04-01,183.016
2007-05-01,181.61
2007-06-01,180.263
2007-07-01,179.12099999999998
2007-08-01,178.127
2007-09-01,177.56799999999998
2007-10-01,176.63400000000001
2007-11-01,175.15599999999998
2007-12-01,174.34799999999998
2008-01-01,173.137
2008-02-01,171.544
2008-03-01,170.058
2008-04-01,168.343
2008-05-01,166.666
2008-06-01,165.028
