TIME,Value
1983-09,100.4003
1983-10,100.4069
1983-11,100.5977
1983-12,100.9262
1984-01,101.2544
1984-02,101.3842
1984-03,101.4134
1984-04,101.2931
1984-05,101.2161
1984-06,101.1683
1984-07,101.2382
1984-08,101.3627
1984-09,101.385
1984-10,101.22
1984-11,101.0414
1984-12,100.9122
1985-01,100.8942
1985-02,100.8521
1985-03,100.831
1985-04,100.832
1985-05,100.833
1985-06,100.8923
1985-07,100.8223
1985-08,100.6763
1985-09,100.528
1985-10,100.4317
1985-11,100.5359
1985-12,100.7506
1986-01,100.9326
1986-02,101.0193
1986-03,101.044
1986-04,101.0836
1986-05,101.1417
1986-06,101.2362
1986-07,101.179
1986-08,101.0033
1986-09,100.8355
1986-10,100.7459
1986-11,100.5684
1986-12,100.4194
1987-01,100.3879
1987-02,100.4175
1987-03,100.4888
1987-04,100.5668
1987-05,100.599
1987-06,100.6696
1987-07,100.7701
1987-08,100.7747
1987-09,100.5956
1987-10,100.2594
1987-11,99.99361
1987-12,100.0634
1988-01,100.3181
1988-02,100.5512
1988-03,100.7091
1988-04,100.7515
1988-05,100.8413
1988-06,100.9074
1988-07,100.9732
1988-08,101.0788
1988-09,101.064
1988-10,100.927
1988-11,100.8278
1988-12,100.8537
1989-01,100.9911
1989-02,100.9714
1989-03,100.8303
1989-04,100.6374
1989-05,100.5093
1989-06,100.4779
1989-07,100.5257
1989-08,100.6055
1989-09,100.7548
1989-10,100.738
1989-11,100.616
1989-12,100.5432
1990-01,100.5406
1990-02,100.5229
1990-03,100.5906
1990-04,100.6421
1990-05,100.5146
1990-06,100.2341
1990-07,99.76021
1990-08,98.9999
1990-09,98.26949
1990-10,97.68571
1990-11,97.47841
1990-12,97.54144
1991-01,97.88369
1991-02,98.50807
1991-03,99.22008
1991-04,99.42119
1991-05,99.40443
1991-06,99.46864
1991-07,99.52901
1991-08,99.49389
1991-09,99.29723
1991-10,98.8293
1991-11,98.24934
1991-12,97.9081
1992-01,97.86021
1992-02,98.10095
1992-03,98.53288
1992-04,98.87601
1992-05,99.07137
1992-06,99.07713
1992-07,98.90535
1992-08,98.75549
1992-09,98.74519
1992-10,99.00209
1992-11,99.61617
1992-12,100.1159
1993-01,100.2466
1993-02,100.1325
1993-03,99.94845
1993-04,99.72058
1993-05,99.4295
1993-06,99.20314
1993-07,98.99283
1993-08,98.93891
1993-09,99.05886
1993-10,99.33598
1993-11,99.66912
1993-12,100.1526
1994-01,100.5689
1994-02,100.7175
1994-03,100.7069
1994-04,100.6775
1994-05,100.6158
1994-06,100.5107
1994-07,100.439
1994-08,100.4845
1994-09,100.5544
1994-10,100.6474
1994-11,100.7604
1994-12,100.9348
1995-01,101.016
1995-02,100.8846
1995-03,100.666
1995-04,100.5713
1995-05,100.5587
1995-06,100.6843
1995-07,100.8003
1995-08,100.7667
1995-09,100.5325
1995-10,100.3776
1995-11,100.3007
1995-12,100.3244
1996-01,100.3405
1996-02,100.4108
1996-03,100.554
1996-04,100.5823
1996-05,100.5619
1996-06,100.6686
1996-07,100.8254
1996-08,100.9436
1996-09,101.0328
1996-10,101.1529
1996-11,101.2551
1996-12,101.2701
1997-01,101.3199
1997-02,101.4358
1997-03,101.5663
1997-04,101.7283
1997-05,101.9113
1997-06,102.078
1997-07,102.1902
1997-08,102.1928
1997-09,102.2035
1997-10,102.1967
1997-11,102.1787
1997-12,102.1476
1998-01,102.2976
1998-02,102.458
1998-03,102.4654
1998-04,102.4443
1998-05,102.347
1998-06,102.2301
1998-07,102.0963
1998-08,101.9072
1998-09,101.6708
1998-10,101.5371
1998-11,101.6289
1998-12,101.7693
1999-01,102.0048
1999-02,102.2094
1999-03,102.244
1999-04,102.2393
1999-05,102.2821
