"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-01",101.1029,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-02",101.0871,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-03",100.9587,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-04",100.7433,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-05",100.6161,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-06",100.6458,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-07",100.804,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-08",100.9358,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-09",101.0722,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-10",101.1812,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-11",101.0308,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-12",100.551,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-01",99.86701,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-02",99.54295,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-03",99.61757,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-04",99.92831,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-05",100.1544,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-06",100.2124,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-07",100.1486,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-08",100.08,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-09",100.0233,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-10",99.96353,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-11",99.91022,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-12",99.8399,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-01",99.7492,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-02",99.72517,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-03",99.68283,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-04",99.62458,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-05",99.56487,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-06",99.47065,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-07",99.32111,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-08",99.20192,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-09",99.10143,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-10",99.02993,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-11",99.1201,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-12",99.46301,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-01",100.018,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-02",100.3874,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-03",100.4392,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-04",100.291,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-05",100.1403,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-06",100.0593,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-07",100.0282,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-08",100.0159,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-09",100.0111,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-10",100.0348,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-11",100.1453,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-12",100.4137,
