Date,Labels,VIX_Close,Ratio_smoothed,Std_RUA,A067RL1Q156SBEA,Bullish Average,CPIAUCSL,CCI_Value,GOLDAMGBD228NLBM,GVZCLS,PSAVERT,UNRATE,MORTGAGE30US,DGS10,BCI,Recession,color_x,debt_x,restaurant_x,stocks_x,dow jones_x,housing_x,inflation_x,portfolio_x,revenue_x,credit_x,economics_x,markets_x,return_x,unemployment_x,cancer_x,growth_x,investment_x,money_x,religion_x,bonds_x,derivatives_x,headlines_x,hedge_x,marriage_x,isPartial_x,profit_x,ring_x,society_x,banks_x,bribery_x,greed_x,insider trading_x,wall street_x,bankruptcy,color_y,debt_y,investment_y,recession,stocks_y,dow jones_y,housing_y,inflation_y,portfolio_y,restaurant_y,credit_y,date_x,economics_y,markets_y,return_y,revenue_y,cancer_y,date_y,growth_y,money_y,religion_y,unemployment_y,profit_y,ring_y,society_y,bonds_y,derivatives_y,headlines_y,hedge_y,marriage_y,banks_y,bribery_y,greed_y,insider trading_y,isPartial_y,wall street_y
1/2/04,1,18.219999,-0.058833803,1.12748678,1.9,0.384907437,186.3,99.28259,415.2,,5,5.7,5.85,4.38,163.4,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,0,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,1/2/04,0,0,0,0,0,1/2/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1/5/04,1,17.49,-0.05834311,1.119239876,1.9,0.384907437,186.3,99.28259,417.75,,5,5.7,5.85,4.41,163.4,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,0,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,1/5/04,0,0,0,0,0,1/5/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1/6/04,1,16.73,-0.057852414,1.118598472,1.9,0.384907437,186.3,99.28259,428,,5,5.7,5.85,4.29,163.4,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,0,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,1/6/04,0,0,0,0,0,1/6/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1/7/04,1,15.5,-0.057361715,1.117968836,1.9,0.384907437,186.3,99.28259,420.65,,5,5.7,5.85,4.27,163.4,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,0,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,1/7/04,0,0,0,0,0,1/7/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1/8/04,1,15.61,-0.056871014,1.114394055,1.9,0.384907437,186.3,99.28259,418.1,,5,5.7,5.87,4.27,163.7,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,0,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,1/8/04,0,0,0,0,0,1/8/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1/9/04,1,16.75,-0.056380311,1.110748321,1.9,0.384907437,186.3,99.28259,422.8,,5,5.7,5.87,4.11,163.7,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,0,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,1/9/04,0,0,0,0,0,1/9/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1/12/04,1,16.82,-0.055889605,1.100669965,1.9,0.384907437,186.3,99.28259,428.2,,5,5.7,5.87,4.11,163.7,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,0,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,1/12/04,0,0,0,0,0,1/12/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1/13/04,1,18.040001,-0.055398897,1.100011484,1.9,0.384907437,186.3,99.28259,424.5,,5,5.7,5.87,4.05,163.7,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,0,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,1/13/04,0,0,0,0,0,1/13/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1/14/04,1,16.75,-0.054908187,1.099376646,1.9,0.384907437,186.3,99.28259,421,,5,5.7,5.87,4.01,163.7,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,0,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,1/14/04,0,0,0,0,0,1/14/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1/15/04,1,15.56,-0.054417475,1.098747686,1.9,0.384907437,186.3,99.28259,415.5,,5,5.7,5.66,3.99,164.3,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,0,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,1/15/04,0,0,0,0,0,1/15/04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
