Date,Labels,VIX_Close,A067RL1Q156SBEA,Bullish Average,CPIAUCSL,CCI_Value,GOLDAMGBD228NLBM,PSAVERT,UNRATE,MORTGAGE30US,DGS10,BCI,Recession,color_x,debt_x,restaurant_x,stocks_x,dow jones_x,housing_x,inflation_x,portfolio_x,revenue_x,credit_x,economics_x,markets_x,return_x,unemployment_x,cancer_x,growth_x,investment_x,money_x,religion_x,bonds_x,derivatives_x,headlines_x,hedge_x,marriage_x,profit_x,ring_x,society_x,banks_x,bribery_x,greed_x,insider trading_x,wall street_x,bankruptcy,color_y,debt_y,investment_y,recession,stocks_y,dow jones_y,housing_y,inflation_y,portfolio_y,restaurant_y,credit_y,economics_y,markets_y,return_y,revenue_y,cancer_y,growth_y,money_y,religion_y,unemployment_y,profit_y,ring_y,society_y,bonds_y,derivatives_y,headlines_y,hedge_y,marriage_y,banks_y,bribery_y,insider trading_y,wall street_y
1/2/04,1,18.219999,1.9,0.384907437,186.3,99.28259,415.2,5,5.7,5.85,4.38,163.4,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5/04,1,17.49,1.9,0.384907437,186.3,99.28259,417.75,5,5.7,5.85,4.41,163.4,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/04,1,16.73,1.9,0.384907437,186.3,99.28259,428,5,5.7,5.85,4.29,163.4,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7/04,1,15.5,1.9,0.384907437,186.3,99.28259,420.65,5,5.7,5.85,4.27,163.4,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8/04,1,15.61,1.9,0.384907437,186.3,99.28259,418.1,5,5.7,5.87,4.27,163.7,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/9/04,1,16.75,1.9,0.384907437,186.3,99.28259,422.8,5,5.7,5.87,4.11,163.7,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/12/04,1,16.82,1.9,0.384907437,186.3,99.28259,428.2,5,5.7,5.87,4.11,163.7,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/13/04,1,18.040001,1.9,0.384907437,186.3,99.28259,424.5,5,5.7,5.87,4.05,163.7,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/14/04,1,16.75,1.9,0.384907437,186.3,99.28259,421,5,5.7,5.87,4.01,163.7,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/15/04,1,15.56,1.9,0.384907437,186.3,99.28259,415.5,5,5.7,5.66,3.99,164.3,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/16/04,1,15,1.9,0.384907437,186.3,99.28259,410.3,5,5.7,5.66,4.04,164.3,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/20/04,1,15.21,1.9,0.384907437,186.3,99.28259,408.3,5,5.7,5.66,4.08,164.3,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/21/04,1,14.34,1.9,0.384907437,186.3,99.28259,411.25,5,5.7,5.66,4.05,164.3,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/22/04,1,14.71,1.9,0.384907437,186.3,99.28259,412,5,5.7,5.64,3.99,165,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/04,1,14.84,1.9,0.384907437,186.3,99.28259,411.4,5,5.7,5.64,4.09,165,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/26/04,1,14.55,1.9,0.384907437,186.3,99.28259,406.2,5,5.7,5.64,4.16,165,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/27/04,1,15.35,1.9,0.384907437,186.3,99.28259,404,5,5.7,5.64,4.11,165,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/28/04,1,16.780001,1.9,0.384907437,186.3,99.28259,410.7,5,5.7,5.64,4.22,165,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/29/04,1,17.139999,1.9,0.384907437,186.3,99.28259,410.15,5,5.7,5.68,4.22,166,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/30/04,1,16.629999,1.9,0.384907437,186.3,99.28259,401.3,5,5.7,5.68,4.16,166,0,46,7,77,8,8,93,15,25,80,78,10,6,27,8,69,22,29,71,25,32,5,6,12,73,9,79,97,70,0,2,1,22,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/04,1,17.110001,1.9,0.384907437,186.7,99.5004,401.85,5,5.6,5.68,4.18,166,0,48,7,85,7,6,95,15,24,85,75,10,5,22,8,73,23,29,70,29,31,6,6,13,100,9,71,100,70,1,2,1,21,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/3/04,1,17.34,1.9,0.384907437,186.7,99.5004,401.75,5,5.6,5.68,4.13,166,0,48,7,85,7,6,95,15,24,85,75,10,5,22,8,73,23,29,70,29,31,6,6,13,100,9,71,100,70,1,2,1,21,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/4/04,1,17.870001,1.9,0.384907437,186.7,99.5004,399.6,5,5.6,5.68,4.15,166,0,48,7,85,7,6,95,15,24,85,75,10,5,22,8,73,23,29,70,29,31,6,6,13,100,9,71,100,70,1,2,1,21,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/5/04,1,17.709999,1.9,0.384907437,186.7,99.5004,399.3,5,5.6,5.72,4.2,166.3,0,48,7,85,7,6,95,15,24,85,75,10,5,22,8,73,23,29,70,29,31,6,6,13,100,9,71,100,70,1,2,1,21,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/6/04,1,16,1.9,0.384907437,186.7,99.5004,396.4,5,5.6,5.72,4.12,166.3,0,48,7,85,7,6,95,15,24,85,75,10,5,22,8,73,23,29,70,29,31,6,6,13,100,9,71,100,70,1,2,1,21,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/9/04,1,16.389999,1.9,0.384907437,186.7,99.5004,406.7,5,5.6,5.72,4.09,166.3,0,48,7,85,7,6,95,15,24,85,75,10,5,22,8,73,23,29,70,29,31,6,6,13,100,9,71,100,70,1,2,1,21,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/10/04,1,15.94,1.9,0.384907437,186.7,99.5004,408.35,5,5.6,5.72,4.13,166.3,0,48,7,85,7,6,95,15,24,85,75,10,5,22,8,73,23,29,70,29,31,6,6,13,100,9,71,100,70,1,2,1,21,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/11/04,1,15.39,1.9,0.384907437,186.7,99.5004,406.4,5,5.6,5.72,4.05,166.3,0,48,7,85,7,6,95,15,24,85,75,10,5,22,8,73,23,29,70,29,31,6,6,13,100,9,71,100,70,1,2,1,21,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/12/04,1,15.31,1.9,0.384907437,186.7,99.5004,411.4,5,5.6,5.66,4.1,167.1,0,48,7,85,7,6,95,15,24,85,75,10,5,22,8,73,23,29,70,29,31,6,6,13,100,9,71,100,70,1,2,1,21,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/13/04,1,15.58,1.9,0.384907437,186.7,99.5004,412.1,5,5.6,5.66,4.05,167.1,0,48,7,85,7,6,95,15,24,85,75,10,5,22,8,73,23,29,70,29,31,6,6,13,100,9,71,100,70,1,2,1,21,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/17/04,1,15.4,1.9,0.384907437,186.7,99.5004,413.7,5,5.6,5.66,4.05,167.1,0,48,7,85,7,6,95,15,24,85,75,10,5,22,8,73,23,29,70,29,31,6,6,13,100,9,71,100,70,1,2,1,21,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/18/04,1,15.59,1.9,0.384907437,186.7,99.5004,415.9,5,5.6,5.66,4.05,167.1,0,48,7,85,7,6,95,15,24,85,75,10,5,22,8,73,23,29,70,29,31,6,6,13,100,9,71,100,70,1,2,1,21,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/19/04,1,15.8,1.9,0.384907437,186.7,99.5004,410.2,5,5.6,5.58,4.05,167.2,0,48,7,85,7,6,95,15,24,85,75,10,5,22,8,73,23,29,70,29,31,6,6,13,100,9,71,100,70,1,2,1,21,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/20/04,1,16.040001,1.9,0.384907437,186.7,99.5004,408.25,5,5.6,5.58,4.1,167.2,0,48,7,85,7,6,95,15,24,85,75,10,5,22,8,73,23,29,70,29,31,6,6,13,100,9,71,100,70,1,2,1,21,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/23/04,1,16.290001,1.9,0.384907437,186.7,99.5004,399.85,5,5.6,5.58,4.05,167.2,0,48,7,85,7,6,95,15,24,85,75,10,5,22,8,73,23,29,70,29,31,6,6,13,100,9,71,100,70,1,2,1,21,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/24/04,1,15.9,1.9,0.384907437,186.7,99.5004,401.45,5,5.6,5.58,4.04,167.2,0,48,7,85,7,6,95,15,24,85,75,10,5,22,8,73,23,29,70,29,31,6,6,13,100,9,71,100,70,1,2,1,21,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/25/04,1,14.93,1.9,0.384907437,186.7,99.5004,403.4,5,5.6,5.58,4.02,167.2,0,48,7,85,7,6,95,15,24,85,75,10,5,22,8,73,23,29,70,29,31,6,6,13,100,9,71,100,70,1,2,1,21,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/26/04,1,14.83,1.9,0.384907437,186.7,99.5004,395.05,5,5.6,5.58,4.05,167.6,0,48,7,85,7,6,95,15,24,85,75,10,5,22,8,73,23,29,70,29,31,6,6,13,100,9,71,100,70,1,2,1,21,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/27/04,1,14.55,1.9,0.384907437,186.7,99.5004,392.25,5,5.6,5.58,3.99,167.6,0,48,7,85,7,6,95,15,24,85,75,10,5,22,8,73,23,29,70,29,31,6,6,13,100,9,71,100,70,1,2,1,21,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/04,1,14.44,1.9,0.384907437,187.1,99.6058,398.5,4.9,5.8,5.58,4,167.6,0,46,6,74,6,7,95,15,25,88,75,10,5,21,7,72,23,30,69,30,29,6,7,14,91,9,67,98,72,0,2,1,22,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2/04,1,14.86,1.9,0.384907437,187.1,99.6058,398.6,4.9,5.8,5.58,4.05,167.6,0,46,6,74,6,7,95,15,25,88,75,10,5,21,7,72,23,30,69,30,29,6,7,14,91,9,67,98,72,0,2,1,22,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/3/04,1,14.55,1.9,0.384907437,187.1,99.6058,390.35,4.9,5.8,5.58,4.07,167.6,0,46,6,74,6,7,95,15,25,88,75,10,5,21,7,72,23,30,69,30,29,6,7,14,91,9,67,98,72,0,2,1,22,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4/04,1,14.4,1.9,0.384907437,187.1,99.6058,394.15,4.9,5.8,5.59,4.04,168.4,0,46,6,74,6,7,95,15,25,88,75,10,5,21,7,72,23,30,69,30,29,6,7,14,91,9,67,98,72,0,2,1,22,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/5/04,1,14.48,1.9,0.384907437,187.1,99.6058,393.5,4.9,5.8,5.59,3.85,168.4,0,46,6,74,6,7,95,15,25,88,75,10,5,21,7,72,23,30,69,30,29,6,7,14,91,9,67,98,72,0,2,1,22,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
