Date,RUA Close,Risk-Free TNX,RUA_Returns,Dates,Annual_Return_RUA,Numerator,Std_RUA,Ratio,Ratio_smoothed,Unnamed: 11,Datetimes,Label1_m30,Label2,Label3,Label3_Sharpe,Label4,Past_Sharpe4
1/2/91,178.979996,7.97,-0.010394808,1/2/91,0.094524246,0.014824246,2.256054048,0.006570874,0.008546568,-0.001975694,1/2/91,1,1,1,0.006570874,0,0.006570874
1/3/91,176.639999,7.93,-0.01307407,1/3/91,0.07936204,6.20E-05,2.234674099,2.78E-05,0.008774928,-0.008747166,1/3/91,1,1,1,0.003299337,0,0.002208825
1/4/91,176.259995,8.02,-0.002151291,1/4/91,0.074636702,-0.005563298,2.216556192,-0.002509884,0.009003288,-0.011513172,1/4/91,1,1,1,0.00136293,1,-0.00015053
1/7/91,173.199997,8.13,-0.017360706,1/7/91,0.085292655,0.003992655,2.154587144,0.001853095,0.009231648,-0.007378553,1/7/91,1,1,1,0.001485471,0,0.001853095
1/8/91,172.779999,8.16,-0.002424931,1/8/91,0.084373954,0.002773954,2.154292752,0.00128764,0.009460008,-0.008172368,1/8/91,1,1,1,0.001445905,0,0.001476125
1/9/91,171.169998,8.25,-0.009318214,1/9/91,0.081168995,-0.001331005,2.153921107,-0.000617945,0.009688368,-0.010306313,1/9/91,1,1,1,0.00110193,0,0.00042909
1/10/91,172.759995,8.16,0.009288994,1/10/91,0.080758952,-0.000841048,2.127007733,-0.000395413,0.009916728,-0.010312141,1/10/91,1,1,1,0.000888024,0,-0.000189082
1/11/91,173.130005,8.2,0.002141757,1/11/91,0.084379334,0.002379334,2.097914633,0.001134142,0.010145087,-0.009010945,1/11/91,1,1,1,0.000918789,0,0.000332276
1/14/91,171.389999,8.23,-0.010050286,1/14/91,0.072643011,-0.009656989,2.020824397,-0.004778737,0.010373447,-0.015152184,1/14/91,1,1,1,0.00028573,1,-0.004778737
1/15/91,171.990005,8.22,0.003500823,1/15/91,0.073711038,-0.008488962,2.020397433,-0.00420163,0.010601806,-0.014803435,1/15/91,1,1,1,-0.000163006,1,-0.004393999
1/16/91,173.619995,8.24,0.009477237,1/16/91,0.076760514,-0.005639486,2.020018844,-0.002791799,0.010830164,-0.013621963,1/16/91,1,1,1,-0.000401987,1,-0.003592899
1/17/91,179.770004,8.05,0.035422239,1/17/91,0.088310223,0.007810223,1.99921778,0.003906639,0.011058522,-0.007151883,1/17/91,1,1,1,-4.29E-05,1,0.000322448
1/18/91,181.630005,8.03,0.010346559,1/18/91,0.094182587,0.013882587,1.976909402,0.007022369,0.011286879,-0.00426451,1/18/91,1,1,1,0.00050055,1,0.004348098
1/21/91,181.309998,8.03,-0.001761862,1/21/91,0.097164283,0.016864283,1.896189647,0.008893775,0.011515235,-0.002621461,1/21/91,1,1,1,0.001100066,0,0.008893775
1/22/91,180.100006,8.07,-0.006673609,1/22/91,0.094817432,0.014117432,1.896267853,0.007444851,0.01174359,-0.004298739,1/22/91,1,1,1,0.001523052,1,0.007927826
1/23/91,181.210007,8.04,0.006163248,1/23/91,0.096738803,0.016338803,1.896390575,0.008615737,0.011971944,-0.003356207,1/23/91,1,1,1,0.001966345,1,0.008271781
1/24/91,183.800003,8,0.014292787,1/24/91,0.094876824,0.014876824,1.877181686,0.007925085,0.012200297,-0.004275212,1/24/91,1,1,1,0.002316859,0,0.008075263
1/25/91,184.610001,8.06,0.004406953,1/25/91,0.099076429,0.018476429,1.856230875,0.009953734,0.012428648,-0.002474913,1/25/91,1,1,1,0.00274113,0,0.009054518
1/28/91,184.789993,8.06,0.000974985,1/28/91,0.090851684,0.010251684,1.802809087,0.005686506,0.012656996,-0.006970491,1/28/91,1,1,1,0.002896149,1,0.005686506
1/29/91,184.899994,8.05,0.000595276,1/29/91,0.090929729,0.010429729,1.802850582,0.005785132,0.012885343,-0.007100211,1/29/91,1,1,1,0.003040599,1,0.005752257
1/30/91,187.75,8.05,0.01541377,1/30/91,0.095927542,0.015427542,1.802997144,0.008556609,0.013113688,-0.004557079,1/30/91,1,1,1,0.003303266,1,0.007154433
1/31/91,189.479996,8.03,0.00921436,1/31/91,0.100342106,0.020042106,1.787842544,0.011210219,0.01334203,-0.002131811,1/31/91,1,1,1,0.003662673,1,0.009421501
2/1/91,189.380005,7.91,-0.000527713,2/1/91,0.099544142,0.020444142,1.773278009,0.011529011,0.013570368,-0.002041357,2/1/91,1,1,1,0.004004687,1,0.010927347
2/4/91,192.619995,7.88,0.017108406,2/4/91,0.110316919,0.031516919,1.722651185,0.01829559,0.013798704,0.004496886,2/4/91,1,1,1,0.0050626,1,0.01829559
2/5/91,194.289993,7.85,0.00866991,2/5/91,0.113053727,0.034553727,1.72329924,0.020050915,0.014027036,0.00602388,2/5/91,1,1,1,0.005743888,1,0.019465807
2/6/91,197.720001,7.79,0.017654064,2/6/91,0.118766205,0.040866205,1.724109475,0.02370279,0.014255363,0.009447427,2/6/91,0,1,1,0.006524709,1,0.021584298
2/7/91,196.789993,7.82,-0.004703662,2/7/91,0.119446932,0.041246932,1.70628262,0.024173564,0.014483686,0.009689878,2/7/91,0,1,1,0.007495165,1,0.023329531
2/8/91,198.139999,7.77,0.006860135,2/8/91,0.119020106,0.041320106,1.69028762,0.024445606,0.014712004,0.009733603,2/8/91,0,0,1,0.008502033,1,0.024231123
2/11/91,202.929993,7.78,0.024174796,2/11/91,0.119691774,0.041891774,1.652290726,0.025353755,0.014940316,0.010413439,2/11/91,0,0,1,0.01051332,0,0.025353755
2/12/91,201.529999,7.78,-0.006898901,2/12/91,0.117240303,0.039440303,1.653097187,0.02385843,0.015168622,0.008689808,2/12/91,0,0,1,0.011119916,0,0.024356872
2/13/91,203.369995,7.78,0.009130135,2/13/91,0.120117185,0.042317185,1.653976111,0.025585125,0.015396921,0.010188203,2/13/91,0,0,1,0.011748838,0,0.024970998
2/14/91,201.029999,7.8,-0.011506102,2/14/91,0.116143955,0.038143955,1.654731998,0.02305144,0.015625213,0.007426226,2/14/91,0,0,1,0.012958846,0,0.0240305
2/15/91,203.520004,7.78,0.012386236,2/15/91,0.117928599,0.040128599,1.64453016,0.024401254,0.015853498,0.008547757,2/15/91,0,0,1,0.014202449,0,0.024148628
2/19/91,203.720001,7.8,0.00098269,2/19/91,0.116213031,0.038213031,1.612972976,0.023691055,0.016081774,0.007609281,2/19/91,0,0,1,0.016295723,0,0.023691055
2/20/91,201.5,7.84,-0.010897315,2/20/91,0.112441837,0.034041837,1.613628396,0.021096454,0.016310041,0.004786413,2/20/91,0,0,1,0.016513938,0,0.021961321
