date,recession,debt,color,isPartial
2014-06-15,0,6,48,False
2014-06-22,0,6,49,False
2014-06-29,0,5,48,False
2014-07-06,0,6,49,False
2014-07-13,0,6,52,False
2014-07-20,0,6,51,False
2014-07-27,0,6,51,False
2014-08-03,0,6,50,False
2014-08-10,0,6,50,False
2014-08-17,0,5,50,False
2014-08-24,0,6,50,False
2014-08-31,0,5,51,False
2014-09-07,1,6,52,False
2014-09-14,1,6,54,False
2014-09-21,1,6,55,False
2014-09-28,1,6,53,False
2014-10-05,1,6,53,False
2014-10-12,1,6,53,False
2014-10-19,1,6,52,False
2014-10-26,1,6,53,False
2014-11-02,1,7,52,False
2014-11-09,1,6,52,False
2014-11-16,1,7,51,False
2014-11-23,1,5,48,False
2014-11-30,1,7,52,False
2014-12-07,1,7,53,False
2014-12-14,1,6,52,False
2014-12-21,0,4,46,False
2014-12-28,0,5,48,False
2015-01-04,1,6,51,False
2015-01-11,1,6,53,False
2015-01-18,1,7,54,False
2015-01-25,1,7,53,False
2015-02-01,1,7,53,False
2015-02-08,1,7,53,False
2015-02-15,1,7,53,False
2015-02-22,1,7,100,False
2015-03-01,1,7,71,False
2015-03-08,1,7,58,False
2015-03-15,1,6,57,False
2015-03-22,1,7,56,False
2015-03-29,1,6,57,False
2015-04-05,1,6,56,False
2015-04-12,1,7,57,False
2015-04-19,1,7,57,False
2015-04-26,1,7,56,False
2015-05-03,1,7,57,False
2015-05-10,1,6,55,False
2015-05-17,1,6,55,False
2015-05-24,1,5,54,False
2015-05-31,0,6,54,False
2015-06-07,0,6,53,False
2015-06-14,0,6,53,False
2015-06-21,0,6,54,False
2015-06-28,0,9,54,False
2015-07-05,0,9,54,False
2015-07-12,0,7,56,False
2015-07-19,0,7,53,False
2015-07-26,0,6,54,False
2015-08-02,0,7,54,False
2015-08-09,0,6,54,False
2015-08-16,1,6,54,False
2015-08-23,1,6,54,False
2015-08-30,1,6,56,False
2015-09-06,1,6,56,False
2015-09-13,1,7,59,False
2015-09-20,1,7,58,False
2015-09-27,1,7,56,False
2015-10-04,1,7,59,False
2015-10-11,1,7,58,False
2015-10-18,1,7,56,False
2015-10-25,1,8,56,False
2015-11-01,1,8,55,False
2015-11-08,1,7,60,False
2015-11-15,1,7,58,False
2015-11-22,0,5,53,False
2015-11-29,1,7,57,False
2015-12-06,1,7,57,False
2015-12-13,1,6,55,False
2015-12-20,0,5,52,False
2015-12-27,0,5,53,False
2016-01-03,1,7,55,False
2016-01-10,1,7,55,False
2016-01-17,1,7,56,False
2016-01-24,1,8,56,False
2016-01-31,1,8,58,False
2016-02-07,1,8,58,False
2016-02-14,1,16,58,False
2016-02-21,1,10,61,False
2016-02-28,1,8,60,False
2016-03-06,1,8,59,False
2016-03-13,1,8,60,False
2016-03-20,1,7,60,False
2016-03-27,1,7,59,False
2016-04-03,1,8,60,False
2016-04-10,1,8,60,False
2016-04-17,1,8,60,False
2016-04-24,1,8,59,False
2016-05-01,1,8,61,False
2016-05-08,1,8,58,False
2016-05-15,1,7,59,False
2016-05-22,1,7,56,False
2016-05-29,1,6,55,False
2016-06-05,1,8,57,False
2016-06-12,1,6,54,False
2016-06-19,1,7,54,False
2016-06-26,1,7,53,False
2016-07-03,0,6,52,False
2016-07-10,0,6,54,False
2016-07-17,0,7,55,False
2016-07-24,0,8,54,False
2016-07-31,0,7,53,False
2016-08-07,0,6,51,False
2016-08-14,0,6,50,False
2016-08-21,0,7,54,False
2016-08-28,1,6,56,False
2016-09-04,1,6,56,False
2016-09-11,1,7,66,False
2016-09-18,1,7,61,False
2016-09-25,1,8,61,False
2016-10-02,1,7,61,False
2016-10-09,1,8,60,False
2016-10-16,1,9,61,False
2016-10-23,1,8,62,False
2016-10-30,1,7,58,False
2016-11-06,1,9,57,False
2016-11-13,1,8,59,False
2016-11-20,1,6,56,False
2016-11-27,1,8,59,False
2016-12-04,1,8,60,False
2016-12-11,1,7,61,False
2016-12-18,0,5,57,False
2016-12-25,0,5,56,False
2017-01-01,0,7,56,False
2017-01-08,1,8,59,False
2017-01-15,1,9,58,False
2017-01-22,1,9,58,False
2017-01-29,1,8,60,False
2017-02-05,1,8,59,False
2017-02-12,1,8,58,False
2017-02-19,1,9,62,False
2017-02-26,1,9,61,False
2017-03-05,1,8,62,False
2017-03-12,1,8,61,False
2017-03-19,1,8,60,False
2017-03-26,1,8,61,False
2017-04-02,1,8,60,False
2017-04-09,1,7,62,False
2017-04-16,1,8,61,False
2017-04-23,1,8,61,False
2017-04-30,1,8,60,False
2017-05-07,1,7,61,False
2017-05-14,1,7,57,False
2017-05-21,1,6,57,False
2017-05-28,0,6,55,False
2017-06-04,1,6,57,False
2017-06-11,0,6,55,False
2017-06-18,0,7,54,False
2017-06-25,0,6,55,False
2017-07-02,0,6,54,False
2017-07-09,0,7,54,False
2017-07-16,0,7,56,False
2017-07-23,0,7,56,False
2017-07-30,0,8,55,False
2017-08-06,0,7,56,False
2017-08-13,0,6,56,False
2017-08-20,0,7,54,False
2017-08-27,0,6,54,False
2017-09-03,0,7,54,False
2017-09-10,0,7,58,False
2017-09-17,1,7,59,False
2017-09-24,1,8,59,False
2017-10-01,1,8,60,False
2017-10-08,1,8,63,False
2017-10-15,1,8,61,False
2017-10-22,1,7,60,False
