date,stocks,restaurant,portfolio,isPartial
2014-06-15,4,62,2,False
2014-06-22,4,62,2,False
2014-06-29,4,64,2,False
2014-07-06,4,64,2,False
2014-07-13,4,68,2,False
2014-07-20,4,70,2,False
2014-07-27,4,69,2,False
2014-08-03,4,68,2,False
2014-08-10,4,65,2,False
2014-08-17,4,63,2,False
2014-08-24,4,59,2,False
2014-08-31,4,60,2,False
2014-09-07,5,56,3,False
2014-09-14,5,57,3,False
2014-09-21,5,58,3,False
2014-09-28,5,56,3,False
2014-10-05,5,58,2,False
2014-10-12,6,57,3,False
2014-10-19,5,58,3,False
2014-10-26,5,53,3,False
2014-11-02,5,58,3,False
2014-11-09,5,59,3,False
2014-11-16,5,56,3,False
2014-11-23,4,54,2,False
2014-11-30,5,52,3,False
2014-12-07,5,56,3,False
2014-12-14,6,59,3,False
2014-12-21,5,67,2,False
2014-12-28,5,73,2,False
2015-01-04,6,58,2,False
2015-01-11,6,63,3,False
2015-01-18,5,66,3,False
2015-01-25,6,59,3,False
2015-02-01,6,58,3,False
2015-02-08,6,70,3,False
2015-02-15,5,65,3,False
2015-02-22,6,62,3,False
2015-03-01,6,62,3,False
2015-03-08,5,64,3,False
2015-03-15,5,62,3,False
2015-03-22,5,62,3,False
2015-03-29,5,62,3,False
2015-04-05,5,59,3,False
2015-04-12,5,59,3,False
2015-04-19,5,61,3,False
2015-04-26,5,58,3,False
2015-05-03,5,65,3,False
2015-05-10,5,63,3,False
2015-05-17,4,61,2,False
2015-05-24,4,61,2,False
2015-05-31,4,62,2,False
2015-06-07,4,63,2,False
2015-06-14,4,63,2,False
2015-06-21,4,68,2,False
2015-06-28,5,66,2,False
2015-07-05,5,66,2,False
2015-07-12,4,71,2,False
2015-07-19,5,73,2,False
2015-07-26,4,74,2,False
2015-08-02,5,71,2,False
2015-08-09,5,69,2,False
2015-08-16,5,67,2,False
2015-08-23,9,63,3,False
2015-08-30,5,60,2,False
2015-09-06,5,62,2,False
2015-09-13,5,59,2,False
2015-09-20,5,59,2,False
2015-09-27,5,56,2,False
2015-10-04,5,58,2,False
2015-10-11,5,60,3,False
2015-10-18,5,59,2,False
2015-10-25,5,55,3,False
2015-11-01,5,59,3,False
2015-11-08,5,59,3,False
2015-11-15,5,55,3,False
2015-11-22,4,54,2,False
2015-11-29,5,52,3,False
2015-12-06,5,56,3,False
2015-12-13,5,59,2,False
2015-12-20,4,66,2,False
2015-12-27,4,80,2,False
2016-01-03,6,70,2,False
2016-01-10,6,70,2,False
2016-01-17,6,72,2,False
2016-01-24,6,72,3,False
2016-01-31,6,70,3,False
2016-02-07,6,76,3,False
2016-02-14,5,79,2,False
2016-02-21,5,72,3,False
2016-02-28,5,71,3,False
2016-03-06,6,73,3,False
2016-03-13,5,72,3,False
2016-03-20,5,75,3,False
2016-03-27,5,74,3,False
2016-04-03,5,73,3,False
2016-04-10,5,73,3,False
2016-04-17,5,70,3,False
2016-04-24,5,71,3,False
2016-05-01,5,78,3,False
2016-05-08,5,79,3,False
2016-05-15,4,74,3,False
2016-05-22,4,73,2,False
2016-05-29,4,78,2,False
2016-06-05,4,73,2,False
2016-06-12,4,80,2,False
2016-06-19,6,79,2,False
2016-06-26,5,76,2,False
2016-07-03,4,82,2,False
2016-07-10,5,80,2,False
2016-07-17,5,83,2,False
2016-07-24,5,82,2,False
2016-07-31,4,80,2,False
2016-08-07,4,77,2,False
2016-08-14,4,77,2,False
2016-08-21,4,74,2,False
2016-08-28,4,71,2,False
2016-09-04,4,71,2,False
2016-09-11,4,67,2,False
2016-09-18,4,69,2,False
2016-09-25,4,66,2,False
2016-10-02,4,66,2,False
2016-10-09,4,69,2,False
2016-10-16,5,69,2,False
2016-10-23,5,65,3,False
2016-10-30,5,65,2,False
2016-11-06,10,62,2,False
2016-11-13,7,66,3,False
2016-11-20,5,66,2,False
2016-11-27,6,61,3,False
2016-12-04,6,63,3,False
2016-12-11,6,64,3,False
2016-12-18,5,73,2,False
2016-12-25,5,84,2,False
2017-01-01,6,71,2,False
2017-01-08,7,69,3,False
2017-01-15,6,72,2,False
2017-01-22,8,73,3,False
2017-01-29,8,74,3,False
2017-02-05,7,69,3,False
2017-02-12,7,79,3,False
2017-02-19,7,76,3,False
2017-02-26,8,70,3,False
2017-03-05,7,74,3,False
2017-03-12,6,72,3,False
2017-03-19,6,72,3,False
2017-03-26,6,74,3,False
2017-04-02,6,74,3,False
2017-04-09,6,75,3,False
2017-04-16,6,72,3,False
2017-04-23,6,72,3,False
2017-04-30,6,75,3,False
2017-05-07,6,81,3,False
2017-05-14,5,78,2,False
2017-05-21,5,74,2,False
2017-05-28,5,78,2,False
2017-06-04,5,77,2,False
2017-06-11,5,80,2,False
2017-06-18,6,81,2,False
2017-06-25,5,83,2,False
2017-07-02,5,87,2,False
2017-07-09,5,85,2,False
