date,inflation,housing,dow jones,revenue,isPartial
2014-06-15,4,40,6,14,False
2014-06-22,4,40,6,14,False
2014-06-29,4,38,6,12,False
2014-07-06,4,42,6,14,False
2014-07-13,4,42,7,15,False
2014-07-20,4,43,6,15,False
2014-07-27,4,43,8,14,False
2014-08-03,4,43,8,13,False
2014-08-10,4,43,7,13,False
2014-08-17,4,42,7,13,False
2014-08-24,4,38,7,13,False
2014-08-31,4,37,5,13,False
2014-09-07,5,35,6,16,False
2014-09-14,5,36,6,16,False
2014-09-21,5,37,7,16,False
2014-09-28,5,36,8,16,False
2014-10-05,5,35,10,16,False
2014-10-12,5,34,16,17,False
2014-10-19,5,35,11,15,False
2014-10-26,6,36,11,16,False
2014-11-02,5,35,9,15,False
2014-11-09,5,34,8,15,False
2014-11-16,5,34,8,15,False
2014-11-23,5,26,6,10,False
2014-11-30,6,34,8,14,False
2014-12-07,6,32,9,15,False
2014-12-14,5,31,12,14,False
2014-12-21,3,24,9,8,False
2014-12-28,3,30,7,10,False
2015-01-04,4,40,12,14,False
2015-01-11,5,40,10,16,False
2015-01-18,6,38,8,17,False
2015-01-25,5,39,10,21,False
2015-02-01,5,39,10,22,False
2015-02-08,5,37,9,23,False
2015-02-15,5,36,8,22,False
2015-02-22,6,40,8,23,False
2015-03-01,6,40,9,23,False
2015-03-08,5,40,10,22,False
2015-03-15,6,41,10,21,False
2015-03-22,6,41,9,20,False
2015-03-29,5,43,9,21,False
2015-04-05,5,44,9,23,False
2015-04-12,6,44,9,30,False
2015-04-19,6,44,9,19,False
2015-04-26,6,45,8,19,False
2015-05-03,6,44,8,17,False
2015-05-10,6,42,8,16,False
2015-05-17,5,41,8,15,False
2015-05-24,5,39,7,14,False
2015-05-31,4,42,8,15,False
2015-06-07,4,42,9,15,False
2015-06-14,4,40,9,15,False
2015-06-21,4,42,9,14,False
2015-06-28,4,41,14,13,False
2015-07-05,4,44,16,15,False
2015-07-12,4,44,12,15,False
2015-07-19,5,44,10,15,False
2015-07-26,4,45,11,15,False
2015-08-02,4,46,10,14,False
2015-08-09,4,45,12,14,False
2015-08-16,4,45,16,14,False
2015-08-23,4,42,59,13,False
2015-08-30,5,38,29,14,False
2015-09-06,5,36,19,14,False
2015-09-13,5,37,19,17,False
2015-09-20,5,37,17,16,False
2015-09-27,5,37,16,16,False
2015-10-04,5,37,14,16,False
2015-10-11,6,36,12,17,False
2015-10-18,5,37,11,16,False
2015-10-25,6,34,10,16,False
2015-11-01,6,37,10,15,False
2015-11-08,6,35,10,15,False
2015-11-15,6,35,10,15,False
2015-11-22,5,27,7,10,False
2015-11-29,6,35,8,15,False
2015-12-06,6,34,9,15,False
2015-12-13,6,32,11,14,False
2015-12-20,4,25,8,9,False
2015-12-27,4,30,7,10,False
2016-01-03,4,41,22,13,False
2016-01-10,5,39,23,14,False
2016-01-17,5,39,25,16,False
2016-01-24,5,41,19,19,False
2016-01-31,5,40,17,20,False
2016-02-07,5,39,20,20,False
2016-02-14,5,39,16,20,False
2016-02-21,6,41,14,21,False
2016-02-28,5,41,14,20,False
2016-03-06,5,41,13,19,False
2016-03-13,5,41,13,18,False
2016-03-20,5,43,11,18,False
2016-03-27,5,45,12,19,False
2016-04-03,6,46,11,20,False
2016-04-10,6,46,11,23,False
2016-04-17,6,45,11,21,False
2016-04-24,6,44,10,17,False
2016-05-01,6,45,11,16,False
2016-05-08,5,41,10,15,False
2016-05-15,5,43,10,15,False
2016-05-22,4,41,10,14,False
2016-05-29,4,40,8,12,False
2016-06-05,4,42,10,13,False
2016-06-12,4,40,9,13,False
2016-06-19,4,42,23,13,False
2016-06-26,4,40,24,13,False
2016-07-03,4,39,11,11,False
2016-07-10,4,41,14,13,False
2016-07-17,3,43,12,13,False
2016-07-24,3,43,11,12,False
2016-07-31,3,41,10,12,False
2016-08-07,3,41,10,11,False
2016-08-14,3,43,9,12,False
2016-08-21,4,42,9,12,False
2016-08-28,4,39,8,12,False
