date,economics,credit,markets,return,unemployment,isPartial
2014-06-15,1,80,2,11,10,False
2014-06-22,1,81,2,11,10,False
2014-06-29,1,82,2,11,10,False
2014-07-06,1,85,2,11,10,False
2014-07-13,1,86,2,11,10,False
2014-07-20,2,84,2,11,10,False
2014-07-27,1,88,2,11,9,False
2014-08-03,1,89,2,11,9,False
2014-08-10,2,88,2,11,8,False
2014-08-17,2,85,2,11,8,False
2014-08-24,3,83,2,11,8,False
2014-08-31,3,84,2,11,8,False
2014-09-07,3,80,2,12,8,False
2014-09-14,3,82,2,12,8,False
2014-09-21,3,81,2,13,8,False
2014-09-28,3,84,2,13,8,False
2014-10-05,3,79,2,13,8,False
2014-10-12,3,81,2,13,8,False
2014-10-19,3,80,2,14,8,False
2014-10-26,3,80,2,13,8,False
2014-11-02,3,84,2,13,8,False
2014-11-09,3,83,2,13,8,False
2014-11-16,3,82,2,13,8,False
2014-11-23,2,76,2,12,7,False
2014-11-30,3,86,2,13,9,False
2014-12-07,3,83,2,14,9,False
2014-12-14,3,84,2,14,9,False
2014-12-21,1,80,2,13,8,False
2014-12-28,1,88,2,14,9,False
2015-01-04,2,86,2,16,11,False
2015-01-11,3,87,2,16,10,False
2015-01-18,3,85,2,17,10,False
2015-01-25,3,86,2,19,10,False
2015-02-01,3,90,2,19,10,False
2015-02-08,3,88,2,18,9,False
2015-02-15,3,86,2,17,9,False
2015-02-22,3,85,2,16,8,False
2015-03-01,3,87,2,16,9,False
2015-03-08,3,86,2,15,8,False
2015-03-15,3,84,2,15,8,False
2015-03-22,3,83,2,15,8,False
2015-03-29,3,90,2,15,8,False
2015-04-05,3,87,2,16,8,False
2015-04-12,3,90,2,20,8,False
2015-04-19,3,84,2,13,8,False
2015-04-26,3,84,2,12,8,False
2015-05-03,3,89,2,12,8,False
2015-05-10,3,87,2,12,7,False
2015-05-17,2,88,2,12,7,False
2015-05-24,2,83,2,12,7,False
2015-05-31,2,88,2,12,8,False
2015-06-07,2,90,2,12,7,False
2015-06-14,1,91,2,11,7,False
2015-06-21,1,91,2,12,7,False
2015-06-28,1,96,3,11,8,False
2015-07-05,1,98,3,12,8,False
