date,money,religion,cancer,isPartial
2014-06-15,76,8,47,False
2014-06-22,78,8,46,False
2014-06-29,84,9,42,False
2014-07-06,80,9,43,False
2014-07-13,78,9,46,False
2014-07-20,78,9,44,False
2014-07-27,80,9,44,False
2014-08-03,77,9,44,False
2014-08-10,73,10,43,False
2014-08-17,75,9,43,False
2014-08-24,76,11,42,False
2014-08-31,74,12,47,False
2014-09-07,74,13,47,False
2014-09-14,74,13,47,False
2014-09-21,72,13,49,False
2014-09-28,72,14,66,False
2014-10-05,70,13,63,False
2014-10-12,74,12,58,False
2014-10-19,73,13,55,False
2014-10-26,72,13,50,False
2014-11-02,73,13,49,False
2014-11-09,71,12,47,False
2014-11-16,75,13,46,False
2014-11-23,70,11,36,False
2014-11-30,77,13,43,False
2014-12-07,77,14,44,False
2014-12-14,76,13,40,False
2014-12-21,73,10,34,False
2014-12-28,78,9,37,False
2015-01-04,79,12,53,False
2015-01-11,77,13,43,False
2015-01-18,76,11,43,False
2015-01-25,81,12,43,False
2015-02-01,78,13,45,False
2015-02-08,77,12,42,False
2015-02-15,76,12,45,False
2015-02-22,75,12,45,False
2015-03-01,76,12,46,False
2015-03-08,76,11,45,False
2015-03-15,77,12,44,False
2015-03-22,78,13,45,False
2015-03-29,77,14,50,False
2015-04-05,77,13,47,False
2015-04-12,82,12,48,False
2015-04-19,79,12,49,False
2015-04-26,79,12,45,False
2015-05-03,83,12,46,False
2015-05-10,78,11,48,False
2015-05-17,78,11,47,False
2015-05-24,75,10,44,False
2015-05-31,78,10,48,False
2015-06-07,77,9,48,False
2015-06-14,80,8,45,False
2015-06-21,80,9,46,False
2015-06-28,90,10,44,False
2015-07-05,85,8,45,False
2015-07-12,81,8,47,False
2015-07-19,81,8,46,False
2015-07-26,80,8,45,False
2015-08-02,80,8,44,False
2015-08-09,77,8,45,False
2015-08-16,80,10,48,False
2015-08-23,79,11,46,False
2015-08-30,81,12,48,False
2015-09-06,75,13,46,False
2015-09-13,78,14,51,False
2015-09-20,77,17,54,False
2015-09-27,75,16,61,False
2015-10-04,72,14,61,False
2015-10-11,72,13,61,False
2015-10-18,72,13,59,False
2015-10-25,72,14,60,False
2015-11-01,75,14,52,False
2015-11-08,74,15,51,False
2015-11-15,72,18,48,False
2015-11-22,68,13,43,False
2015-11-29,76,16,46,False
2015-12-06,76,18,47,False
2015-12-13,79,15,46,False
2015-12-20,76,12,38,False
2015-12-27,81,9,41,False
2016-01-03,87,11,47,False
2016-01-10,90,11,72,False
2016-01-17,84,12,49,False
2016-01-24,84,12,48,False
2016-01-31,85,12,53,False
2016-02-07,82,13,48,False
2016-02-14,82,12,51,False
2016-02-21,79,12,52,False
2016-02-28,79,12,52,False
2016-03-06,79,12,51,False
2016-03-13,76,12,48,False
2016-03-20,76,12,47,False
2016-03-27,80,12,48,False
2016-04-03,81,12,50,False
2016-04-10,83,12,50,False
2016-04-17,83,12,49,False
2016-04-24,81,12,47,False
2016-05-01,81,12,48,False
2016-05-08,88,11,48,False
2016-05-15,89,11,49,False
2016-05-22,83,10,47,False
2016-05-29,85,10,45,False
2016-06-05,80,9,47,False
2016-06-12,78,11,44,False
2016-06-19,86,8,46,False
2016-06-26,80,8,47,False
2016-07-03,80,8,44,False
2016-07-10,77,8,46,False
2016-07-17,79,9,47,False
2016-07-24,79,8,45,False
2016-07-31,76,8,45,False
2016-08-07,74,8,42,False
2016-08-14,72,8,41,False
2016-08-21,71,10,44,False
2016-08-28,75,11,44,False
2016-09-04,76,11,47,False
2016-09-11,75,12,50,False
2016-09-18,74,12,51,False
2016-09-25,74,13,50,False
2016-10-02,73,13,55,False
2016-10-09,72,13,55,False
2016-10-16,74,12,53,False
2016-10-23,73,13,51,False
2016-10-30,72,12,49,False
2016-11-06,74,13,42,False
2016-11-13,75,13,48,False
2016-11-20,71,12,40,False
2016-11-27,77,14,46,False
2016-12-04,79,14,45,False
2016-12-11,77,13,44,False
2016-12-18,74,11,40,False
2016-12-25,76,10,40,False
2017-01-01,83,10,42,False
2017-01-08,80,11,46,False
2017-01-15,83,13,46,False
2017-01-22,86,13,48,False
2017-01-29,86,16,48,False
2017-02-05,82,12,47,False
2017-02-12,79,12,46,False
2017-02-19,82,12,48,False
2017-02-26,81,12,47,False
2017-03-05,80,12,48,False
2017-03-12,76,10,46,False
2017-03-19,77,11,47,False
2017-03-26,79,11,46,False
2017-04-02,77,11,47,False
2017-04-09,80,11,46,False
2017-04-16,81,12,45,False
2017-04-23,82,11,50,False
2017-04-30,82,11,49,False
2017-05-07,80,11,47,False
2017-05-14,78,10,45,False
2017-05-21,80,11,46,False
2017-05-28,80,9,44,False
2017-06-04,80,9,46,False
2017-06-11,80,8,45,False
2017-06-18,86,8,48,False
2017-06-25,81,8,48,False
2017-07-02,80,8,45,False
2017-07-09,81,8,49,False
2017-07-16,82,8,52,False
2017-07-23,81,8,48,False
2017-07-30,84,7,46,False
2017-08-06,78,7,47,False
2017-08-13,78,8,44,False
2017-08-20,76,9,44,False
2017-08-27,87,10,44,False
2017-09-03,77,10,43,False
2017-09-10,80,11,45,False
2017-09-17,79,12,48,False
2017-09-24,79,12,50,False
2017-10-01,77,12,55,False
2017-10-08,76,11,54,False
2017-10-15,76,12,53,False
2017-10-22,79,12,51,False
2017-10-29,78,12,47,False
2017-11-05,78,11,47,False
2017-11-12,80,13,47,False
2017-11-19,73,11,41,False
2017-11-26,84,14,46,False
2017-12-03,84,13,46,False
2017-12-10,86,14,46,False
2017-12-17,86,11,42,False
2017-12-24,100,9,40,False
2017-12-31,99,9,44,False
2018-01-07,96,11,45,False
2018-01-14,88,10,45,False
2018-01-21,87,11,48,False
2018-01-28,90,11,48,False
2018-02-04,89,11,53,False
2018-02-11,85,11,47,False
2018-02-18,88,10,47,False
2018-02-25,85,11,49,False
2018-03-04,82,11,48,False
2018-03-11,80,10,47,False
2018-03-18,81,10,48,False
2018-03-25,84,10,51,False
2018-04-01,82,10,50,False
2018-04-08,84,10,49,False
2018-04-15,84,11,49,False
2018-04-22,81,10,49,False
2018-04-29,85,10,48,False
2018-05-06,82,10,48,False
2018-05-13,80,12,46,False
2018-05-20,81,10,47,False
2018-05-27,81,9,48,False
2018-06-03,80,8,48,False
2018-06-10,80,8,47,False
2018-06-17,84,7,48,False
2018-06-24,79,7,47,False
2018-07-01,81,7,46,False
2018-07-08,80,8,48,False
2018-07-15,82,7,50,False
2018-07-22,81,7,49,False
2018-07-29,82,7,47,False
2018-08-05,79,7,48,False
2018-08-12,80,8,52,False
2018-08-19,77,9,51,False
2018-08-26,79,11,50,False
2018-09-02,82,11,49,False
2018-09-09,77,11,50,False
2018-09-16,79,12,51,False
2018-09-23,77,12,51,False
2018-09-30,81,12,62,False
2018-10-07,81,12,58,False
2018-10-14,79,11,55,False
2018-10-21,82,11,56,False
2018-10-28,81,12,51,False
2018-11-04,79,11,49,False
2018-11-11,79,12,49,False
2018-11-18,74,11,43,False
2018-11-25,82,13,50,False
2018-12-02,83,15,48,False
2018-12-09,86,13,48,False
2018-12-16,87,12,46,False
2018-12-23,84,9,39,False
2018-12-30,87,8,44,False
2019-01-06,88,10,48,False
2019-01-13,85,11,49,False
2019-01-20,85,10,49,False
2019-01-27,86,10,53,False
2019-02-03,84,11,52,False
2019-02-10,87,11,48,False
2019-02-17,85,10,48,False
2019-02-24,86,11,50,False
2019-03-03,83,11,65,False
2019-03-10,81,10,53,False
2019-03-17,81,11,52,False
2019-03-24,80,10,51,False
2019-03-31,84,10,57,False
2019-04-07,83,11,51,False
2019-04-14,85,11,49,False
2019-04-21,82,12,50,False
2019-04-28,87,11,50,False
2019-05-05,82,11,49,False
2019-05-12,84,10,50,False
2019-05-19,87,9,50,False
2019-05-26,83,8,47,False
2019-06-02,81,8,51,False
2019-06-09,79,8,44,True
