date,growth,investment,hedge,marriage,bonds,isPartial
2014-06-15,13,9,3,23,6,False
2014-06-22,14,9,4,26,6,False
2014-06-29,13,8,3,23,6,False
2014-07-06,14,9,3,24,6,False
2014-07-13,14,9,4,24,6,False
2014-07-20,13,9,4,24,6,False
2014-07-27,14,9,4,25,6,False
2014-08-03,13,9,4,23,6,False
2014-08-10,13,9,3,22,5,False
2014-08-17,13,9,3,23,6,False
2014-08-24,14,9,3,22,6,False
2014-08-31,14,9,3,22,8,False
2014-09-07,16,9,3,22,8,False
2014-09-14,17,10,3,22,9,False
2014-09-21,16,9,3,22,8,False
2014-09-28,17,10,3,23,8,False
2014-10-05,17,10,3,35,8,False
2014-10-12,17,9,4,28,8,False
2014-10-19,17,10,3,24,8,False
2014-10-26,17,10,3,23,9,False
2014-11-02,17,10,3,25,8,False
2014-11-09,17,10,3,23,8,False
2014-11-16,16,10,3,24,8,False
2014-11-23,13,7,2,19,6,False
2014-11-30,17,10,3,21,9,False
2014-12-07,17,9,3,21,9,False
2014-12-14,15,9,3,20,9,False
2014-12-21,10,6,2,18,5,False
2014-12-28,11,7,2,22,5,False
2015-01-04,15,9,4,25,7,False
2015-01-11,16,9,3,24,7,False
2015-01-18,16,9,3,23,8,False
2015-01-25,16,10,3,22,8,False
2015-02-01,17,10,3,23,9,False
2015-02-08,17,10,3,26,8,False
2015-02-15,16,10,3,24,7,False
2015-02-22,17,10,3,23,8,False
2015-03-01,17,10,3,23,8,False
2015-03-08,16,10,3,22,7,False
2015-03-15,16,10,3,23,7,False
2015-03-22,16,10,3,22,7,False
2015-03-29,16,10,3,23,7,False
2015-04-05,16,10,3,23,7,False
2015-04-12,18,10,3,23,8,False
2015-04-19,18,10,4,24,8,False
2015-04-26,18,10,4,30,8,False
2015-05-03,17,10,4,24,8,False
2015-05-10,16,10,3,22,7,False
2015-05-17,16,9,4,26,7,False
2015-05-24,15,9,4,27,6,False
2015-05-31,14,9,4,25,6,False
2015-06-07,14,9,4,24,7,False
2015-06-14,14,9,4,24,6,False
2015-06-21,14,9,4,100,6,False
2015-06-28,13,8,4,61,6,False
2015-07-05,14,9,4,30,6,False
2015-07-12,16,9,4,25,6,False
2015-07-19,14,10,4,25,6,False
2015-07-26,14,9,3,23,6,False
2015-08-02,13,9,4,23,6,False
2015-08-09,13,9,3,22,6,False
2015-08-16,13,9,4,22,6,False
2015-08-23,15,9,4,21,7,False
2015-08-30,16,9,4,27,8,False
2015-09-06,16,8,4,26,8,False
2015-09-13,17,9,4,23,9,False
2015-09-20,17,9,5,22,9,False
2015-09-27,17,10,4,21,8,False
2015-10-04,17,10,4,21,9,False
2015-10-11,17,10,4,20,8,False
2015-10-18,18,10,3,20,8,False
2015-10-25,17,10,3,20,8,False
2015-11-01,18,10,3,21,9,False
2015-11-08,18,10,3,19,9,False
2015-11-15,17,10,3,19,9,False
2015-11-22,13,7,3,17,6,False
2015-11-29,17,9,3,19,9,False
2015-12-06,17,10,3,19,9,False
2015-12-13,16,9,3,18,9,False
2015-12-20,11,6,3,17,5,False
2015-12-27,12,7,3,20,5,False
2016-01-03,16,10,3,21,8,False
2016-01-10,16,9,4,20,9,False
2016-01-17,16,9,3,20,8,False
2016-01-24,18,10,3,20,9,False
2016-01-31,18,10,4,20,9,False
2016-02-07,17,10,4,20,9,False
2016-02-14,17,10,3,22,9,False
2016-02-21,18,10,4,21,9,False
2016-02-28,18,10,3,20,9,False
2016-03-06,18,10,4,20,8,False
2016-03-13,17,9,4,20,8,False
2016-03-20,16,10,4,20,7,False
2016-03-27,17,10,4,21,7,False
2016-04-03,18,11,4,21,9,False
2016-04-10,18,11,4,21,9,False
2016-04-17,18,10,4,20,9,False
2016-04-24,19,10,4,21,8,False
2016-05-01,18,10,4,20,8,False
2016-05-08,17,9,4,21,8,False
2016-05-15,17,9,4,20,7,False
2016-05-22,15,8,4,19,7,False
2016-05-29,15,8,4,21,7,False
2016-06-05,15,9,4,20,7,False
2016-06-12,14,9,4,21,6,False
2016-06-19,14,8,4,20,6,False
2016-06-26,13,9,4,20,6,False
2016-07-03,13,8,4,20,6,False
2016-07-10,14,9,4,20,6,False
2016-07-17,14,9,4,20,6,False
2016-07-24,14,9,4,20,6,False
2016-07-31,13,9,4,20,6,False
2016-08-07,14,8,4,19,7,False
2016-08-14,13,8,3,18,6,False
2016-08-21,14,8,3,18,7,False
2016-08-28,15,8,4,19,7,False
2016-09-04,16,8,4,18,8,False
2016-09-11,17,9,4,19,9,False
2016-09-18,17,9,4,19,9,False
2016-09-25,17,9,4,19,9,False
2016-10-02,17,9,4,19,9,False
2016-10-09,17,9,4,19,8,False
2016-10-16,17,9,4,19,8,False
2016-10-23,18,10,4,19,9,False
2016-10-30,17,9,4,19,9,False
2016-11-06,16,9,4,25,8,False
2016-11-13,18,10,4,21,10,False
2016-11-20,14,7,3,17,7,False
2016-11-27,18,10,3,18,9,False
2016-12-04,19,10,3,18,10,False
2016-12-11,17,9,3,17,9,False
2016-12-18,13,7,3,16,6,False
2016-12-25,11,6,3,17,5,False
2017-01-01,15,9,3,19,6,False
2017-01-08,17,9,3,18,7,False
2017-01-15,19,10,3,19,8,False
2017-01-22,19,10,3,20,9,False
2017-01-29,19,11,4,20,9,False
2017-02-05,19,11,3,20,9,False
2017-02-12,19,10,3,20,9,False
2017-02-19,19,10,3,20,8,False
2017-02-26,19,11,4,19,9,False
2017-03-05,20,11,4,19,8,False
2017-03-12,17,10,3,19,7,False
2017-03-19,18,10,4,19,8,False
2017-03-26,19,10,4,19,8,False
2017-04-02,18,11,4,18,8,False
2017-04-09,18,10,4,18,8,False
2017-04-16,18,10,4,19,8,False
2017-04-23,21,11,4,19,8,False
2017-04-30,19,10,4,20,8,False
2017-05-07,18,10,4,19,8,False
2017-05-14,16,9,4,18,7,False
2017-05-21,16,9,4,19,7,False
2017-05-28,15,8,4,19,7,False
2017-06-04,15,9,4,18,6,False
2017-06-11,15,9,4,19,6,False
2017-06-18,15,9,4,19,6,False
2017-06-25,15,9,4,20,6,False
2017-07-02,14,8,4,19,7,False
2017-07-09,15,10,4,19,7,False
2017-07-16,15,10,4,19,6,False
2017-07-23,15,9,4,19,6,False
2017-07-30,15,10,4,19,6,False
2017-08-06,15,9,4,19,7,False
2017-08-13,15,9,4,18,6,False
2017-08-20,15,8,4,17,6,False
2017-08-27,16,9,3,17,7,False
2017-09-03,16,9,4,17,7,False
2017-09-10,17,10,4,18,8,False
2017-09-17,18,10,4,19,9,False
2017-09-24,18,10,4,18,9,False
2017-10-01,18,10,4,18,9,False
2017-10-08,19,10,4,19,8,False
2017-10-15,19,10,4,18,8,False
2017-10-22,19,11,4,18,9,False
2017-10-29,19,11,4,18,9,False
2017-11-05,19,10,3,18,9,False
2017-11-12,19,10,3,19,9,False
2017-11-19,14,8,3,15,6,False
2017-11-26,19,11,4,18,9,False
2017-12-03,20,11,3,18,9,False
2017-12-10,19,11,3,17,9,False
2017-12-17,16,10,3,16,7,False
2017-12-24,13,8,3,17,5,False
2017-12-31,16,10,3,17,6,False
2018-01-07,18,10,3,18,7,False
2018-01-14,18,10,3,17,7,False
2018-01-21,20,11,3,18,9,False
2018-01-28,20,11,4,18,9,False
2018-02-04,20,11,4,18,10,False
2018-02-11,18,10,3,18,8,False
2018-02-18,19,10,3,18,8,False
2018-02-25,20,10,4,18,8,False
2018-03-04,19,10,3,18,8,False
2018-03-11,18,10,3,17,7,False
2018-03-18,19,10,4,18,7,False
2018-03-25,18,9,4,18,7,False
2018-04-01,18,10,4,18,7,False
2018-04-08,19,11,4,18,8,False
2018-04-15,19,11,4,18,8,False
2018-04-22,20,10,4,18,8,False
2018-04-29,19,10,4,18,8,False
2018-05-06,19,10,4,19,7,False
2018-05-13,17,9,4,19,7,False
2018-05-20,17,9,5,19,6,False
2018-05-27,16,8,4,18,6,False
2018-06-03,16,9,5,18,6,False
2018-06-10,16,9,4,18,6,False
2018-06-17,16,9,4,18,6,False
2018-06-24,16,9,4,19,6,False
2018-07-01,14,8,4,19,5,False
2018-07-08,16,9,4,19,6,False
2018-07-15,15,9,4,18,6,False
2018-07-22,18,9,4,18,6,False
2018-07-29,17,9,4,18,6,False
2018-08-05,16,9,4,18,6,False
2018-08-12,17,9,4,18,7,False
2018-08-19,18,9,4,18,6,False
2018-08-26,19,9,4,18,8,False
2018-09-02,19,9,4,18,8,False
2018-09-09,20,10,3,18,8,False
2018-09-16,20,10,4,18,8,False
2018-09-23,20,9,4,18,9,False
2018-09-30,20,10,4,18,8,False
2018-10-07,19,10,4,18,8,False
2018-10-14,20,10,4,17,8,False
2018-10-21,19,10,4,17,8,False
2018-10-28,20,10,3,17,8,False
2018-11-04,20,9,3,18,9,False
2018-11-11,18,9,3,17,8,False
2018-11-18,14,7,3,15,6,False
2018-11-25,18,9,3,17,8,False
2018-12-02,19,9,3,17,9,False
2018-12-09,19,9,3,16,9,False
2018-12-16,16,8,3,15,7,False
2018-12-23,12,6,3,16,5,False
2018-12-30,15,7,3,18,5,False
2019-01-06,18,9,3,19,7,False
2019-01-13,19,9,3,18,7,False
2019-01-20,19,9,3,18,8,False
2019-01-27,20,10,3,18,8,False
2019-02-03,20,10,3,18,8,False
2019-02-10,20,10,3,19,8,False
