date,derivatives,headlines,profit,isPartial
2014-06-15,5,14,71,False
2014-06-22,5,13,71,False
2014-06-29,5,14,68,False
2014-07-06,6,15,75,False
2014-07-13,6,14,72,False
2014-07-20,5,16,74,False
2014-07-27,5,14,75,False
2014-08-03,5,13,72,False
2014-08-10,5,15,67,False
2014-08-17,5,14,74,False
2014-08-24,8,16,72,False
2014-08-31,10,17,76,False
2014-09-07,11,17,86,False
2014-09-14,14,17,86,False
2014-09-21,16,17,88,False
2014-09-28,17,17,87,False
2014-10-05,17,17,90,False
2014-10-12,17,18,87,False
2014-10-19,17,17,95,False
2014-10-26,15,17,97,False
2014-11-02,14,16,96,False
2014-11-09,13,15,95,False
2014-11-16,14,16,97,False
2014-11-23,8,13,71,False
2014-11-30,12,15,92,False
2014-12-07,16,15,92,False
2014-12-14,13,13,79,False
2014-12-21,3,12,49,False
2014-12-28,3,14,58,False
2015-01-04,8,17,76,False
2015-01-11,10,16,82,False
2015-01-18,11,16,82,False
2015-01-25,12,17,89,False
2015-02-01,12,17,92,False
2015-02-08,13,17,88,False
2015-02-15,13,17,85,False
2015-02-22,14,16,90,False
2015-03-01,13,16,88,False
2015-03-08,11,16,87,False
2015-03-15,11,17,86,False
2015-03-22,10,17,88,False
2015-03-29,10,16,86,False
2015-04-05,10,16,88,False
2015-04-12,10,17,94,False
2015-04-19,11,16,97,False
2015-04-26,11,16,91,False
2015-05-03,12,18,89,False
2015-05-10,9,18,88,False
2015-05-17,7,18,83,False
2015-05-24,6,15,77,False
2015-05-31,7,16,78,False
2015-06-07,8,17,80,False
2015-06-14,6,14,78,False
2015-06-21,6,14,78,False
2015-06-28,5,15,77,False
2015-07-05,5,16,80,False
2015-07-12,6,15,82,False
2015-07-19,6,15,83,False
2015-07-26,5,17,81,False
2015-08-02,5,15,78,False
2015-08-09,5,15,74,False
2015-08-16,5,16,74,False
2015-08-23,8,17,74,False
2015-08-30,10,17,79,False
2015-09-06,11,17,78,False
2015-09-13,14,18,88,False
2015-09-20,17,17,89,False
2015-09-27,19,19,89,False
2015-10-04,19,20,90,False
2015-10-11,17,20,92,False
2015-10-18,18,18,92,False
2015-10-25,17,19,94,False
2015-11-01,14,18,96,False
2015-11-08,14,21,94,False
2015-11-15,13,19,92,False
2015-11-22,7,15,68,False
2015-11-29,12,19,95,False
2015-12-06,15,16,97,False
2015-12-13,13,16,83,False
2015-12-20,4,13,60,False
2015-12-27,3,14,61,False
2016-01-03,8,16,80,False
2016-01-10,9,17,85,False
2016-01-17,10,17,86,False
2016-01-24,11,17,100,False
2016-01-31,12,16,98,False
2016-02-07,12,17,95,False
2016-02-14,12,17,91,False
2016-02-21,14,18,95,False
2016-02-28,11,18,92,False
2016-03-06,10,18,87,False
2016-03-13,9,17,84,False
2016-03-20,8,18,84,False
2016-03-27,9,17,89,False
2016-04-03,10,16,93,False
2016-04-10,10,17,94,False
2016-04-17,9,16,90,False
2016-04-24,13,17,90,False
2016-05-01,13,17,87,False
2016-05-08,9,16,82,False
2016-05-15,8,18,76,False
2016-05-22,7,15,72,False
2016-05-29,5,16,67,False
2016-06-05,6,16,70,False
2016-06-12,5,19,68,False
2016-06-19,6,16,71,False
2016-06-26,5,17,68,False
2016-07-03,5,19,62,False
2016-07-10,5,19,67,False
2016-07-17,5,18,69,False
2016-07-24,5,18,70,False
2016-07-31,5,17,66,False
2016-08-07,4,18,66,False
2016-08-14,4,16,68,False
2016-08-21,6,18,74,False
2016-08-28,8,20,78,False
2016-09-04,9,19,89,False
2016-09-11,12,19,87,False
2016-09-18,14,20,85,False
2016-09-25,15,21,91,False
2016-10-02,16,20,88,False
2016-10-09,14,21,90,False
2016-10-16,15,23,89,False
2016-10-23,16,22,90,False
2016-10-30,13,23,88,False
2016-11-06,10,31,84,False
2016-11-13,13,37,91,False
2016-11-20,7,22,68,False
2016-11-27,11,22,91,False
2016-12-04,12,21,93,False
2016-12-11,13,18,81,False
2016-12-18,6,17,62,False
2016-12-25,2,16,54,False
2017-01-01,5,19,71,False
2017-01-08,8,18,80,False
2017-01-15,10,21,84,False
2017-01-22,11,21,95,False
2017-01-29,11,25,96,False
2017-02-05,11,22,96,False
2017-02-12,12,22,89,False
2017-02-19,11,20,92,False
2017-02-26,11,18,95,False
2017-03-05,11,20,95,False
2017-03-12,8,18,83,False
2017-03-19,10,19,90,False
2017-03-26,9,18,93,False
2017-04-02,9,20,91,False
2017-04-09,8,22,87,False
2017-04-16,9,21,87,False
2017-04-23,10,21,92,False
2017-04-30,10,19,91,False
2017-05-07,10,20,87,False
2017-05-14,7,23,74,False
