date,society,ring,wall street,banks,greed,isPartial
2014-06-15,46,60,14,35,1,False
2014-06-22,43,59,14,31,1,False
2014-06-29,41,57,13,37,1,False
2014-07-06,44,57,14,32,1,False
2014-07-13,44,59,14,31,1,False
2014-07-20,42,60,14,31,1,False
2014-07-27,44,62,13,32,1,False
2014-08-03,43,59,12,32,1,False
2014-08-10,63,57,12,30,1,False
2014-08-17,50,56,12,30,1,False
2014-08-24,50,55,12,29,1,False
2014-08-31,49,57,12,29,1,False
2014-09-07,53,55,12,27,1,False
2014-09-14,62,56,14,27,1,False
2014-09-21,61,55,14,27,1,False
2014-09-28,58,55,13,26,1,False
2014-10-05,57,55,13,28,1,False
2014-10-12,55,55,12,32,1,False
2014-10-19,56,55,12,26,1,False
2014-10-26,56,55,12,26,1,False
2014-11-02,56,55,12,29,1,False
2014-11-09,54,57,12,35,1,False
2014-11-16,55,62,12,28,1,False
2014-11-23,46,67,11,28,1,False
2014-11-30,56,65,12,29,1,False
2014-12-07,55,69,15,27,1,False
2014-12-14,49,68,24,29,1,False
2014-12-21,39,76,19,33,1,False
2014-12-28,42,71,18,29,1,False
2015-01-04,48,61,15,29,1,False
2015-01-11,50,61,14,27,1,False
2015-01-18,51,64,14,39,1,False
2015-01-25,53,64,13,32,1,False
2015-02-01,54,66,13,27,1,False
2015-02-08,55,65,13,29,1,False
2015-02-15,49,65,13,33,1,False
2015-02-22,51,60,13,26,1,False
2015-03-01,51,60,13,26,1,False
2015-03-08,51,58,12,27,1,False
2015-03-15,50,58,11,34,1,False
2015-03-22,51,61,11,31,1,False
2015-03-29,48,59,12,33,1,False
2015-04-05,48,59,11,28,1,False
2015-04-12,51,60,11,27,1,False
2015-04-19,51,60,11,27,1,False
2015-04-26,51,61,11,27,1,False
2015-05-03,49,62,10,28,1,False
2015-05-10,49,59,10,29,1,False
2015-05-17,47,57,10,31,1,False
2015-05-24,46,60,10,31,1,False
2015-05-31,45,59,11,30,1,False
2015-06-07,45,59,11,30,1,False
2015-06-14,44,63,11,32,1,False
2015-06-21,42,59,11,31,1,False
2015-06-28,42,62,11,44,1,False
