date,bribery,insider trading,bankruptcy,isPartial
2014-06-15,2,3,57,False
2014-06-22,2,2,60,False
2014-06-29,2,2,53,False
2014-07-06,2,3,61,False
2014-07-13,1,2,62,False
2014-07-20,1,2,63,False
2014-07-27,1,2,64,False
2014-08-03,1,2,61,False
2014-08-10,1,2,56,False
2014-08-17,1,2,54,False
2014-08-24,2,2,55,False
2014-08-31,2,1,51,False
2014-09-07,2,2,58,False
2014-09-14,2,2,56,False
2014-09-21,2,2,57,False
2014-09-28,2,2,56,False
2014-10-05,2,2,58,False
2014-10-12,2,2,57,False
2014-10-19,2,2,56,False
2014-10-26,2,2,56,False
2014-11-02,2,2,56,False
2014-11-09,2,2,55,False
2014-11-16,2,2,55,False
2014-11-23,1,1,39,False
2014-11-30,2,2,56,False
2014-12-07,2,3,53,False
2014-12-14,2,2,50,False
2014-12-21,1,2,36,False
2014-12-28,1,1,42,False
2015-01-04,2,2,57,False
2015-01-11,2,2,59,False
2015-01-18,2,2,59,False
2015-01-25,2,2,57,False
2015-02-01,2,2,59,False
2015-02-08,3,2,57,False
2015-02-15,2,2,52,False
2015-02-22,2,2,56,False
2015-03-01,2,2,54,False
2015-03-08,2,2,57,False
2015-03-15,2,2,58,False
2015-03-22,2,2,58,False
2015-03-29,2,2,55,False
2015-04-05,2,2,55,False
2015-04-12,2,2,57,False
2015-04-19,2,2,57,False
2015-04-26,2,2,52,False
2015-05-03,1,2,54,False
2015-05-10,2,2,54,False
2015-05-17,2,2,51,False
2015-05-24,3,2,52,False
2015-05-31,2,2,57,False
2015-06-07,2,2,58,False
2015-06-14,2,1,65,False
2015-06-21,1,2,62,False
2015-06-28,1,2,59,False
2015-07-05,1,2,61,False
2015-07-12,1,1,100,False
2015-07-19,2,2,73,False
2015-07-26,1,2,66,False
2015-08-02,2,2,66,False
2015-08-09,1,3,65,False
2015-08-16,2,1,60,False
2015-08-23,1,3,62,False
2015-08-30,2,2,57,False
2015-09-06,2,2,56,False
2015-09-13,2,2,65,False
2015-09-20,2,2,58,False
2015-09-27,2,2,56,False
2015-10-04,2,6,59,False
2015-10-11,2,2,57,False
2015-10-18,2,3,55,False
2015-10-25,3,2,54,False
2015-11-01,2,2,56,False
2015-11-08,2,2,53,False
2015-11-15,2,2,52,False
2015-11-22,1,2,39,False
2015-11-29,2,2,52,False
2015-12-06,2,2,51,False
2015-12-13,2,2,50,False
2015-12-20,1,1,37,False
2015-12-27,1,1,45,False
2016-01-03,1,2,65,False
2016-01-10,2,1,64,False
2016-01-17,2,2,61,False
2016-01-24,2,2,64,False
2016-01-31,2,2,67,False
2016-02-07,2,2,69,False
2016-02-14,2,2,66,False
2016-02-21,2,2,74,False
2016-02-28,2,2,70,False
2016-03-06,2,2,67,False
2016-03-13,2,2,62,False
2016-03-20,2,2,62,False
2016-03-27,3,2,66,False
2016-04-03,2,2,73,False
2016-04-10,2,2,71,False
2016-04-17,3,2,69,False
2016-04-24,2,2,65,False
2016-05-01,2,5,70,False
2016-05-08,2,2,67,False
2016-05-15,2,5,65,False
2016-05-22,2,3,63,False
2016-05-29,2,2,56,False
2016-06-05,2,2,64,False
2016-06-12,2,3,61,False
2016-06-19,1,3,63,False
2016-06-26,2,2,62,False
2016-07-03,2,2,56,False
2016-07-10,1,2,62,False
2016-07-17,1,2,65,False
2016-07-24,2,2,68,False
2016-07-31,2,2,64,False
2016-08-07,1,2,63,False
2016-08-14,2,2,58,False
2016-08-21,1,2,59,False
2016-08-28,2,1,62,False
2016-09-04,2,2,59,False
2016-09-11,2,2,67,False
2016-09-18,2,2,59,False
2016-09-25,3,2,63,False
2016-10-02,2,2,61,False
2016-10-09,2,2,59,False
2016-10-16,2,2,58,False
2016-10-23,2,2,57,False
2016-10-30,2,2,58,False
2016-11-06,2,2,56,False
2016-11-13,2,2,58,False
2016-11-20,1,2,46,False
2016-11-27,2,2,56,False
2016-12-04,2,3,54,False
2016-12-11,2,2,53,False
2016-12-18,2,2,47,False
2016-12-25,1,1,46,False
2017-01-01,1,2,57,False
2017-01-08,2,2,59,False
2017-01-15,2,2,59,False
2017-01-22,2,2,61,False
2017-01-29,2,2,61,False
2017-02-05,3,2,59,False
2017-02-12,2,2,59,False
2017-02-19,2,2,62,False
2017-02-26,3,2,60,False
2017-03-05,2,2,61,False
2017-03-12,3,2,60,False
2017-03-19,2,2,60,False
2017-03-26,2,2,64,False
2017-04-02,2,2,65,False
2017-04-09,2,2,66,False
2017-04-16,2,2,65,False
2017-04-23,2,2,65,False
2017-04-30,2,2,68,False
