date,stocks,restaurant,portfolio,isPartial
2014-06-15,8,42,3,False
2014-06-22,15,38,1,False
2014-06-29,11,34,2,False
2014-07-06,13,41,3,False
2014-07-13,15,36,1,False
2014-07-20,13,38,0,False
2014-07-27,20,46,1,False
2014-08-03,12,56,2,False
2014-08-10,7,45,1,False
2014-08-17,11,40,1,False
2014-08-24,13,40,3,False
2014-08-31,9,41,1,False
2014-09-07,13,34,3,False
2014-09-14,16,39,1,False
2014-09-21,19,41,1,False
2014-09-28,21,37,1,False
2014-10-05,18,44,2,False
2014-10-12,27,41,1,False
2014-10-19,13,32,2,False
2014-10-26,19,37,2,False
2014-11-02,15,41,2,False
2014-11-09,12,36,1,False
2014-11-16,12,38,4,False
2014-11-23,10,44,1,False
2014-11-30,14,30,1,False
2014-12-07,18,40,2,False
2014-12-14,28,39,1,False
2014-12-21,11,47,2,False
2014-12-28,9,43,2,False
2015-01-04,17,36,3,False
2015-01-11,18,35,2,False
2015-01-18,14,53,3,False
2015-01-25,16,29,3,False
2015-02-01,16,32,2,False
2015-02-08,16,40,2,False
2015-02-15,21,34,4,False
2015-02-22,16,35,3,False
2015-03-01,15,36,3,False
2015-03-08,18,31,4,False
2015-03-15,16,35,3,False
2015-03-22,13,41,7,False
2015-03-29,15,45,3,False
2015-04-05,15,38,2,False
2015-04-12,14,36,2,False
2015-04-19,16,32,4,False
2015-04-26,15,28,2,False
2015-05-03,15,37,2,False
2015-05-10,17,32,1,False
2015-05-17,17,40,3,False
2015-05-24,11,37,3,False
2015-05-31,15,32,2,False
2015-06-07,12,26,2,False
2015-06-14,9,27,1,False
2015-06-21,15,36,1,False
2015-06-28,25,35,2,False
2015-07-05,24,39,2,False
2015-07-12,16,41,4,False
2015-07-19,20,53,4,False
2015-07-26,23,41,4,False
2015-08-02,24,33,1,False
2015-08-09,14,42,2,False
2015-08-16,26,39,1,False
2015-08-23,50,40,0,False
2015-08-30,27,38,2,False
2015-09-06,23,42,2,False
2015-09-13,17,41,4,False
2015-09-20,26,39,3,False
2015-09-27,19,31,3,False
2015-10-04,17,40,4,False
2015-10-11,24,39,2,False
2015-10-18,20,46,2,False
2015-10-25,17,43,3,False
2015-11-01,13,40,1,False
2015-11-08,17,41,3,False
2015-11-15,14,39,2,False
2015-11-22,11,40,2,False
2015-11-29,13,31,2,False
2015-12-06,19,31,3,False
2015-12-13,23,43,1,False
2015-12-20,18,55,0,False
2015-12-27,17,51,3,False
2016-01-03,31,44,2,False
2016-01-10,29,37,3,False
2016-01-17,37,36,3,False
2016-01-24,26,38,2,False
2016-01-31,20,37,1,False
2016-02-07,24,38,2,False
2016-02-14,18,35,3,False
2016-02-21,27,21,2,False
2016-02-28,26,25,1,False
2016-03-06,23,21,1,False
2016-03-13,19,18,2,False
2016-03-20,25,40,2,False
2016-03-27,17,43,2,False
2016-04-03,19,39,3,False
2016-04-10,19,38,2,False
2016-04-17,17,35,1,False
2016-04-24,25,41,1,False
2016-05-01,16,35,5,False
2016-05-08,18,41,4,False
2016-05-15,16,36,1,False
2016-05-22,12,41,5,False
2016-05-29,11,38,3,False
2016-06-05,17,32,1,False
2016-06-12,23,35,2,False
2016-06-19,31,28,1,False
2016-06-26,30,31,1,False
2016-07-03,27,27,2,False
2016-07-10,12,25,4,False
2016-07-17,9,24,1,False
2016-07-24,13,26,1,False
2016-07-31,15,25,1,False
2016-08-07,14,27,3,False
2016-08-14,13,29,2,False
2016-08-21,19,26,3,False
2016-08-28,18,22,3,False
2016-09-04,16,20,3,False
2016-09-11,21,26,1,False
2016-09-18,18,29,1,False
2016-09-25,28,23,2,False
2016-10-02,18,26,1,False
2016-10-09,12,23,2,False
2016-10-16,18,34,2,False
2016-10-23,15,25,1,False
2016-10-30,15,22,3,False
2016-11-06,42,25,1,False
2016-11-13,26,31,2,False
2016-11-20,24,30,2,False
2016-11-27,26,28,1,False
2016-12-04,30,33,2,False
2016-12-11,24,24,2,False
2016-12-18,18,31,3,False
2016-12-25,22,34,2,False
2017-01-01,23,27,0,False
2017-01-08,23,27,2,False
2017-01-15,21,28,2,False
2017-01-22,27,31,2,False
2017-01-29,28,28,3,False
2017-02-05,21,28,2,False
2017-02-12,20,36,2,False
2017-02-19,34,50,2,False
2017-02-26,43,68,2,False
2017-03-05,29,55,5,False
2017-03-12,30,62,2,False
2017-03-19,34,55,2,False
2017-03-26,38,71,4,False
2017-04-02,31,59,2,False
2017-04-09,42,65,2,False
2017-04-16,32,56,5,False
2017-04-23,27,75,5,False
2017-04-30,21,67,4,False
2017-05-07,30,63,5,False
2017-05-14,34,60,1,False
2017-05-21,28,63,2,False
2017-05-28,24,65,2,False
2017-06-04,34,65,5,False
2017-06-11,33,68,2,False
2017-06-18,30,61,1,False
2017-06-25,29,65,2,False
2017-07-02,28,66,2,False
2017-07-09,31,65,2,False
2017-07-16,21,68,2,False
2017-07-23,35,66,8,False
2017-07-30,25,86,2,False
2017-08-06,39,76,3,False
2017-08-13,29,70,3,False
2017-08-20,16,60,2,False
2017-08-27,18,60,2,False
2017-09-03,20,62,1,False
2017-09-10,21,58,1,False
2017-09-17,27,71,3,False
2017-09-24,28,69,2,False
2017-10-01,39,63,0,False
2017-10-08,33,76,3,False
2017-10-15,27,64,2,False
2017-10-22,32,74,2,False
2017-10-29,29,60,6,False
2017-11-05,28,54,4,False
2017-11-12,27,58,5,False
2017-11-19,22,65,3,False
2017-11-26,49,63,5,False
2017-12-03,59,62,3,False
2017-12-10,48,62,2,False
2017-12-17,38,77,7,False
2017-12-24,39,95,0,False
2017-12-31,62,63,5,False
2018-01-07,45,66,3,False
2018-01-14,50,75,2,False
2018-01-21,52,78,2,False
2018-01-28,56,69,6,False
2018-02-04,75,63,6,False
2018-02-11,43,63,2,False
2018-02-18,28,78,3,False
2018-02-25,38,52,3,False
2018-03-04,36,67,0,False
2018-03-11,28,72,3,False
2018-03-18,44,62,3,False
2018-03-25,38,74,2,False
2018-04-01,40,70,9,False
2018-04-08,30,63,3,False
2018-04-15,30,72,3,False
2018-04-22,26,64,2,False
2018-04-29,27,78,3,False
2018-05-06,34,75,2,False
2018-05-13,30,89,5,False
2018-05-20,26,77,2,False
2018-05-27,29,88,2,False
2018-06-03,43,75,6,False
2018-06-10,38,65,4,False
2018-06-17,31,89,5,False
2018-06-24,39,89,0,False
2018-07-01,32,77,2,False
2018-07-08,25,100,4,False
2018-07-15,33,63,3,False
2018-07-22,29,97,4,False
2018-07-29,38,73,4,False
2018-08-05,29,80,3,False
2018-08-12,32,61,2,False
2018-08-19,36,74,4,False
2018-08-26,37,68,2,False
2018-09-02,29,60,2,False
2018-09-09,50,62,3,False
2018-09-16,37,72,3,False
2018-09-23,44,71,4,False
2018-09-30,49,64,6,False
2018-10-07,75,60,3,False
2018-10-14,51,71,5,False
2018-10-21,51,72,6,False
2018-10-28,49,54,4,False
2018-11-04,23,68,2,False
2018-11-11,47,62,2,False
2018-11-18,39,67,5,False
2018-11-25,42,72,3,False
2018-12-02,40,78,3,False
2018-12-09,51,75,4,False
2018-12-16,70,64,11,False
2018-12-23,54,84,5,False
2018-12-30,34,82,2,False
2019-01-06,37,74,8,False
2019-01-13,40,68,0,False
2019-01-20,25,62,2,False
2019-01-27,37,62,4,False
2019-02-03,41,63,0,False
2019-02-10,35,55,0,False
2019-02-17,29,86,2,False
2019-02-24,34,61,2,False
2019-03-03,42,69,6,False
2019-03-10,35,63,2,False
2019-03-17,44,58,2,False
2019-03-24,28,64,5,False
2019-03-31,41,63,5,False
2019-04-07,30,53,5,False
2019-04-14,37,55,10,False
2019-04-21,37,68,5,False
2019-04-28,26,65,4,False
2019-05-05,39,66,2,False
2019-05-12,42,82,2,False
2019-05-19,22,60,3,False
2019-05-26,22,64,4,False
2019-06-02,27,57,4,False
