date,economics,credit,markets,return,unemployment,isPartial
2014-06-15,5,53,7,15,62,False
2014-06-22,3,62,6,14,58,False
2014-06-29,3,55,12,18,47,False
2014-07-06,3,48,4,17,56,False
2014-07-13,5,50,5,15,44,False
2014-07-20,3,47,9,14,43,False
2014-07-27,4,56,8,18,41,False
2014-08-03,3,63,15,21,31,False
2014-08-10,4,55,6,9,16,False
2014-08-17,6,50,5,23,24,False
2014-08-24,5,53,6,17,16,False
2014-08-31,4,68,6,14,22,False
2014-09-07,7,58,7,16,18,False
2014-09-14,6,57,9,26,16,False
2014-09-21,10,60,8,28,19,False
2014-09-28,10,52,6,26,24,False
2014-10-05,11,50,5,13,14,False
2014-10-12,10,66,14,15,13,False
2014-10-19,8,64,7,21,21,False
2014-10-26,10,54,8,24,17,False
2014-11-02,4,50,7,24,12,False
2014-11-09,9,52,7,22,10,False
2014-11-16,5,54,5,22,20,False
2014-11-23,4,53,5,15,13,False
2014-11-30,5,58,6,13,14,False
2014-12-07,7,47,9,12,17,False
2014-12-14,5,76,6,21,10,False
2014-12-21,2,47,9,20,7,False
2014-12-28,6,59,6,24,13,False
2015-01-04,12,53,5,21,18,False
2015-01-11,9,61,3,23,11,False
2015-01-18,8,50,9,25,11,False
2015-01-25,9,55,6,22,14,False
2015-02-01,8,54,4,23,14,False
2015-02-08,7,49,4,16,13,False
2015-02-15,12,57,7,21,10,False
2015-02-22,4,44,5,20,9,False
2015-03-01,10,54,8,20,13,False
2015-03-08,6,70,5,20,12,False
2015-03-15,9,52,6,18,8,False
2015-03-22,4,52,12,13,8,False
2015-03-29,9,46,9,25,15,False
2015-04-05,6,45,7,18,10,False
2015-04-12,9,50,7,18,9,False
2015-04-19,9,49,9,15,11,False
2015-04-26,25,47,7,15,8,False
2015-05-03,6,43,6,12,12,False
2015-05-10,8,44,8,19,8,False
2015-05-17,7,56,6,22,16,False
2015-05-24,12,52,6,18,9,False
2015-05-31,5,55,10,19,8,False
2015-06-07,3,44,13,26,12,False
2015-06-14,4,44,9,15,10,False
2015-06-21,6,50,5,13,8,False
2015-06-28,5,48,9,19,17,False
2015-07-05,5,53,29,19,8,False
2015-07-12,6,54,10,14,9,False
2015-07-19,6,68,16,18,12,False
2015-07-26,5,66,11,19,9,False
2015-08-02,6,64,12,22,9,False
2015-08-09,3,59,12,23,9,False
2015-08-16,4,58,14,21,15,False
2015-08-23,6,51,34,29,10,False
2015-08-30,7,55,20,17,13,False
2015-09-06,8,42,14,25,18,False
2015-09-13,8,63,8,23,11,False
2015-09-20,11,54,18,20,6,False
2015-09-27,11,66,16,24,12,False
2015-10-04,11,68,18,27,11,False
2015-10-11,11,48,9,25,9,False
2015-10-18,8,74,11,31,8,False
2015-10-25,5,62,11,24,12,False
2015-11-01,10,47,9,30,11,False
2015-11-08,5,63,6,24,10,False
2015-11-15,5,45,12,25,13,False
2015-11-22,5,53,11,27,7,False
2015-11-29,10,51,12,29,11,False
2015-12-06,12,62,13,31,14,False
2015-12-13,8,77,10,29,10,False
2015-12-20,3,57,7,21,10,False
2015-12-27,4,54,2,25,6,False
2016-01-03,4,49,20,31,13,False
2016-01-10,6,68,15,22,16,False
2016-01-17,5,57,22,31,13,False
2016-01-24,6,52,17,28,11,False
2016-01-31,12,67,15,42,18,False
2016-02-07,10,57,20,30,17,False
2016-02-14,8,50,15,18,9,False
2016-02-21,12,35,14,13,8,False
2016-02-28,5,45,12,15,11,False
2016-03-06,7,33,9,14,6,False
2016-03-13,8,31,9,15,4,False
2016-03-20,4,53,11,17,5,False
2016-03-27,11,48,11,20,11,False
2016-04-03,10,64,10,25,9,False
2016-04-10,6,54,11,26,14,False
2016-04-17,7,44,8,22,8,False
2016-04-24,11,62,7,17,7,False
2016-05-01,6,57,6,20,14,False
2016-05-08,8,65,11,20,8,False
2016-05-15,5,51,9,24,7,False
2016-05-22,5,54,13,22,8,False
2016-05-29,4,50,6,19,15,False
2016-06-05,5,53,13,23,8,False
2016-06-12,5,48,11,15,7,False
2016-06-19,6,62,17,16,6,False
2016-06-26,5,68,17,13,5,False
2016-07-03,4,48,16,14,8,False
2016-07-10,4,57,12,11,6,False
2016-07-17,5,47,10,14,9,False
2016-07-24,3,45,13,16,10,False
2016-07-31,6,48,16,16,9,False
2016-08-07,7,52,12,14,8,False
2016-08-14,8,49,12,18,7,False
2016-08-21,8,49,10,13,8,False
2016-08-28,6,43,12,12,6,False
2016-09-04,6,44,11,21,7,False
2016-09-11,7,48,14,17,5,False
2016-09-18,12,68,17,17,8,False
2016-09-25,10,49,12,21,9,False
2016-10-02,8,52,11,27,6,False
2016-10-09,9,53,18,25,7,False
2016-10-16,7,47,12,24,11,False
2016-10-23,9,41,8,17,7,False
2016-10-30,8,56,14,17,5,False
2016-11-06,7,47,35,13,6,False
2016-11-13,11,62,14,22,14,False
2016-11-20,7,56,16,16,10,False
2016-11-27,12,53,12,17,8,False
2016-12-04,9,58,14,24,10,False
2016-12-11,8,57,9,18,6,False
2016-12-18,5,64,16,14,10,False
2016-12-25,4,43,17,24,8,False
2017-01-01,8,56,17,28,9,False
2017-01-08,11,56,14,28,10,False
2017-01-15,7,54,12,25,8,False
2017-01-22,17,50,12,30,8,False
2017-01-29,10,39,14,24,9,False
2017-02-05,9,55,11,23,9,False
2017-02-12,10,61,15,21,7,False
2017-02-19,9,62,11,30,8,False
2017-02-26,6,55,10,34,9,False
2017-03-05,9,64,13,22,11,False
2017-03-12,8,64,8,56,9,False
2017-03-19,10,62,10,34,11,False
2017-03-26,13,70,10,24,11,False
2017-04-02,7,81,11,31,14,False
2017-04-09,8,81,7,32,13,False
2017-04-16,6,63,16,36,11,False
2017-04-23,7,62,14,27,16,False
2017-04-30,11,68,12,28,11,False
2017-05-07,8,84,12,30,10,False
2017-05-14,3,57,13,17,9,False
2017-05-21,5,64,6,26,8,False
2017-05-28,8,86,9,24,12,False
2017-06-04,5,73,11,19,8,False
2017-06-11,4,67,9,28,10,False
2017-06-18,7,65,5,28,8,False
2017-06-25,6,75,11,41,11,False
2017-07-02,4,66,6,37,12,False
2017-07-09,2,87,7,19,5,False
2017-07-16,6,75,13,34,13,False
2017-07-23,3,52,9,27,4,False
2017-07-30,8,77,14,29,13,False
2017-08-06,2,72,13,38,9,False
2017-08-13,2,71,8,25,7,False
2017-08-20,7,66,8,40,8,False
2017-08-27,7,57,12,32,11,False
2017-09-03,4,55,14,38,11,False
2017-09-10,10,100,8,35,5,False
2017-09-17,6,71,13,31,14,False
2017-09-24,12,78,12,20,5,False
2017-10-01,7,69,8,40,11,False
2017-10-08,9,63,13,43,7,False
2017-10-15,3,65,10,44,13,False
2017-10-22,7,63,13,46,8,False
2017-10-29,5,73,10,38,12,False
2017-11-05,3,82,10,32,12,False
2017-11-12,6,84,17,54,8,False
2017-11-19,3,63,9,35,7,False
2017-11-26,8,72,21,48,10,False
2017-12-03,7,72,16,36,9,False
2017-12-10,8,78,8,62,11,False
2017-12-17,7,73,14,48,9,False
2017-12-24,4,73,10,50,14,False
2017-12-31,5,68,17,35,12,False
2018-01-07,11,71,7,52,15,False
2018-01-14,8,64,12,36,19,False
2018-01-21,17,72,11,48,20,False
2018-01-28,11,72,15,48,13,False
2018-02-04,9,61,25,49,9,False
2018-02-11,8,67,18,35,13,False
2018-02-18,4,76,12,41,7,False
2018-02-25,11,54,8,33,13,False
2018-03-04,9,52,24,35,19,False
2018-03-11,4,66,12,39,11,False
2018-03-18,2,72,13,41,11,False
2018-03-25,2,69,19,33,8,False
2018-04-01,10,58,11,37,9,False
2018-04-08,8,64,16,36,9,False
2018-04-15,6,60,10,30,15,False
2018-04-22,4,73,5,23,12,False
2018-04-29,7,61,6,25,8,False
2018-05-06,5,74,9,45,11,False
2018-05-13,7,74,9,32,7,False
2018-05-20,12,65,17,26,11,False
2018-05-27,5,57,10,27,18,False
2018-06-03,6,58,20,20,15,False
