date,money,religion,cancer,isPartial
2014-06-15,13,3,13,False
2014-06-22,11,2,13,False
2014-06-29,12,2,11,False
2014-07-06,10,2,12,False
2014-07-13,12,2,11,False
2014-07-20,12,4,10,False
2014-07-27,13,3,16,False
2014-08-03,11,2,12,False
2014-08-10,11,3,14,False
2014-08-17,11,3,10,False
2014-08-24,12,3,10,False
2014-08-31,11,3,16,False
2014-09-07,13,4,17,False
2014-09-14,11,4,15,False
2014-09-21,11,4,15,False
2014-09-28,8,4,34,False
2014-10-05,8,3,34,False
2014-10-12,11,4,31,False
2014-10-19,9,3,19,False
2014-10-26,13,4,19,False
2014-11-02,12,2,16,False
2014-11-09,12,3,16,False
2014-11-16,13,3,15,False
2014-11-23,8,2,10,False
2014-11-30,14,3,12,False
2014-12-07,13,3,17,False
2014-12-14,12,2,11,False
2014-12-21,10,1,10,False
2014-12-28,9,1,14,False
2015-01-04,10,4,19,False
2015-01-11,12,3,11,False
2015-01-18,10,2,14,False
2015-01-25,10,4,11,False
2015-02-01,12,3,29,False
2015-02-08,15,3,14,False
2015-02-15,12,4,15,False
2015-02-22,12,2,13,False
2015-03-01,9,3,16,False
2015-03-08,9,3,16,False
2015-03-15,11,3,10,False
2015-03-22,12,4,17,False
2015-03-29,10,4,20,False
2015-04-05,13,5,14,False
2015-04-12,15,4,14,False
2015-04-19,11,5,15,False
2015-04-26,12,4,13,False
2015-05-03,15,3,17,False
2015-05-10,14,6,18,False
2015-05-17,11,4,21,False
2015-05-24,10,4,17,False
2015-05-31,11,3,21,False
2015-06-07,12,3,13,False
2015-06-14,14,3,14,False
2015-06-21,10,3,12,False
2015-06-28,14,3,12,False
2015-07-05,14,4,16,False
2015-07-12,14,3,17,False
2015-07-19,13,2,15,False
2015-07-26,12,4,17,False
2015-08-02,13,2,11,False
2015-08-09,10,2,12,False
2015-08-16,12,3,16,False
2015-08-23,12,3,19,False
2015-08-30,9,3,16,False
2015-09-06,11,3,16,False
2015-09-13,11,5,15,False
2015-09-20,11,3,15,False
2015-09-27,12,9,45,False
2015-10-04,10,5,29,False
2015-10-11,9,4,36,False
2015-10-18,13,3,26,False
2015-10-25,13,4,100,False
2015-11-01,15,4,26,False
2015-11-08,10,4,16,False
2015-11-15,9,6,12,False
2015-11-22,10,3,12,False
2015-11-29,14,5,14,False
2015-12-06,12,5,16,False
2015-12-13,12,4,17,False
2015-12-20,11,2,13,False
2015-12-27,10,3,18,False
2016-01-03,10,4,17,False
2016-01-10,14,2,36,False
2016-01-17,12,4,12,False
2016-01-24,11,3,16,False
2016-01-31,10,2,15,False
2016-02-07,12,3,12,False
2016-02-14,8,3,15,False
2016-02-21,7,3,12,False
2016-02-28,8,3,14,False
2016-03-06,7,2,12,False
2016-03-13,7,2,9,False
2016-03-20,8,4,10,False
2016-03-27,12,4,16,False
2016-04-03,12,4,15,False
2016-04-10,10,3,12,False
2016-04-17,12,3,15,False
2016-04-24,13,3,13,False
2016-05-01,12,2,14,False
2016-05-08,44,2,15,False
2016-05-15,15,3,16,False
2016-05-22,12,3,13,False
2016-05-29,14,3,13,False
2016-06-05,10,3,14,False
2016-06-12,9,2,11,False
2016-06-19,12,2,9,False
2016-06-26,10,2,10,False
2016-07-03,8,2,8,False
2016-07-10,7,3,8,False
2016-07-17,8,1,13,False
2016-07-24,7,2,13,False
2016-07-31,8,2,11,False
2016-08-07,9,2,10,False
2016-08-14,9,2,12,False
2016-08-21,8,3,11,False
2016-08-28,8,3,9,False
2016-09-04,10,1,11,False
2016-09-11,9,4,15,False
2016-09-18,11,3,16,False
2016-09-25,10,3,12,False
2016-10-02,11,3,28,False
2016-10-09,11,3,21,False
2016-10-16,14,4,17,False
2016-10-23,11,3,13,False
2016-10-30,11,3,15,False
2016-11-06,14,2,12,False
2016-11-13,13,3,13,False
2016-11-20,14,5,12,False
2016-11-27,13,4,13,False
2016-12-04,10,3,13,False
2016-12-11,10,3,14,False
2016-12-18,10,3,13,False
2016-12-25,10,4,12,False
2017-01-01,11,2,11,False
2017-01-08,10,2,11,False
2017-01-15,9,3,11,False
2017-01-22,10,3,13,False
2017-01-29,9,4,12,False
2017-02-05,11,3,10,False
2017-02-12,10,3,10,False
2017-02-19,11,4,13,False
2017-02-26,14,3,15,False
2017-03-05,16,4,12,False
2017-03-12,15,3,11,False
2017-03-19,14,3,15,False
2017-03-26,12,4,13,False
2017-04-02,12,4,11,False
2017-04-09,14,3,12,False
2017-04-16,14,3,13,False
2017-04-23,16,3,16,False
2017-04-30,13,3,13,False
2017-05-07,19,2,16,False
2017-05-14,14,2,13,False
2017-05-21,15,3,11,False
2017-05-28,13,3,15,False
2017-06-04,17,2,13,False
2017-06-11,13,2,14,False
2017-06-18,19,2,13,False
2017-06-25,16,2,11,False
2017-07-02,15,3,12,False
2017-07-09,13,1,17,False
2017-07-16,19,2,14,False
2017-07-23,17,2,15,False
2017-07-30,16,3,12,False
2017-08-06,16,3,16,False
2017-08-13,14,2,10,False
2017-08-20,16,3,11,False
2017-08-27,22,2,11,False
2017-09-03,11,2,12,False
2017-09-10,16,2,10,False
2017-09-17,16,4,11,False
2017-09-24,18,2,11,False
2017-10-01,17,3,15,False
2017-10-08,13,3,17,False
2017-10-15,19,4,17,False
2017-10-22,15,4,14,False
2017-10-29,13,3,12,False
2017-11-05,11,2,12,False
2017-11-12,16,3,11,False
2017-11-19,15,4,12,False
2017-11-26,18,5,12,False
2017-12-03,17,5,12,False
2017-12-10,17,3,12,False
2017-12-17,17,2,11,False
2017-12-24,22,3,13,False
2017-12-31,18,3,10,False
2018-01-07,21,2,10,False
