date,growth,investment,hedge,marriage,bonds,isPartial
2014-06-15,1,1,1,10,1,False
2014-06-22,1,1,0,25,1,False
2014-06-29,1,1,1,11,1,False
2014-07-06,1,1,1,9,1,False
2014-07-13,1,1,1,10,1,False
2014-07-20,1,2,1,10,1,False
2014-07-27,1,1,1,19,2,False
2014-08-03,2,1,1,22,1,False
2014-08-10,1,1,1,9,1,False
2014-08-17,1,1,1,9,1,False
2014-08-24,1,1,0,10,1,False
2014-08-31,2,1,0,12,1,False
2014-09-07,2,1,1,11,1,False
2014-09-14,2,2,2,6,1,False
2014-09-21,1,2,1,7,1,False
2014-09-28,1,2,1,8,1,False
2014-10-05,2,1,0,57,1,False
2014-10-12,2,1,1,25,1,False
2014-10-19,2,2,0,13,1,False
2014-10-26,1,1,1,10,1,False
2014-11-02,2,1,1,22,1,False
2014-11-09,1,1,1,16,1,False
2014-11-16,1,1,1,13,0,False
2014-11-23,2,1,1,8,1,False
2014-11-30,2,1,1,7,1,False
2014-12-07,2,1,0,7,1,False
2014-12-14,1,2,1,7,1,False
2014-12-21,2,1,1,7,1,False
2014-12-28,1,1,0,9,1,False
2015-01-04,2,1,4,21,1,False
2015-01-11,2,2,1,14,1,False
2015-01-18,6,2,1,8,1,False
2015-01-25,3,1,1,13,1,False
2015-02-01,2,1,1,9,1,False
2015-02-08,2,2,1,20,1,False
2015-02-15,1,1,1,14,1,False
2015-02-22,3,2,1,9,1,False
2015-03-01,2,2,0,26,1,False
2015-03-08,1,2,1,9,1,False
2015-03-15,4,2,1,9,1,False
2015-03-22,3,2,1,6,1,False
2015-03-29,1,2,0,6,1,False
2015-04-05,2,2,1,8,1,False
2015-04-12,2,2,1,7,1,False
2015-04-19,2,2,1,9,2,False
2015-04-26,2,2,1,45,1,False
2015-05-03,2,2,1,9,1,False
2015-05-10,2,2,1,9,1,False
2015-05-17,2,2,1,30,1,False
2015-05-24,1,2,1,17,1,False
2015-05-31,2,2,1,10,1,False
2015-06-07,2,2,0,10,1,False
2015-06-14,2,1,1,11,1,False
2015-06-21,2,2,0,100,1,False
2015-06-28,2,2,1,67,2,False
2015-07-05,1,1,1,18,1,False
2015-07-12,2,2,0,10,2,False
2015-07-19,2,2,1,8,3,False
2015-07-26,2,2,1,6,1,False
2015-08-02,2,1,1,5,1,False
2015-08-09,2,2,1,8,1,False
2015-08-16,2,2,1,7,1,False
2015-08-23,2,2,1,6,1,False
2015-08-30,2,2,1,50,1,False
2015-09-06,2,2,1,21,1,False
2015-09-13,2,2,1,13,1,False
2015-09-20,3,2,1,7,1,False
2015-09-27,2,2,1,5,1,False
2015-10-04,2,2,1,4,1,False
2015-10-11,2,2,1,3,1,False
2015-10-18,2,2,1,4,1,False
2015-10-25,4,2,1,5,1,False
2015-11-01,2,2,1,5,1,False
2015-11-08,2,2,1,4,1,False
2015-11-15,2,1,1,4,1,False
2015-11-22,2,2,1,3,1,False
2015-11-29,2,2,1,4,2,False
2015-12-06,2,2,1,4,1,False
2015-12-13,1,3,1,3,2,False
2015-12-20,2,2,1,6,1,False
2015-12-27,1,1,1,4,1,False
2016-01-03,2,2,1,3,2,False
2016-01-10,1,2,2,3,2,False
2016-01-17,2,2,1,5,1,False
2016-01-24,3,2,1,3,1,False
2016-01-31,2,2,1,3,1,False
2016-02-07,2,2,1,3,1,False
2016-02-14,2,2,1,3,1,False
2016-02-21,2,2,1,2,1,False
2016-02-28,2,3,1,3,1,False
2016-03-06,1,2,1,2,1,False
2016-03-13,1,2,1,2,1,False
2016-03-20,2,2,1,2,1,False
2016-03-27,2,2,1,3,1,False
2016-04-03,2,2,1,4,1,False
2016-04-10,2,2,1,5,1,False
2016-04-17,2,2,1,3,1,False
2016-04-24,2,2,1,3,1,False
2016-05-01,2,2,1,3,1,False
2016-05-08,2,2,2,3,1,False
2016-05-15,2,2,1,2,1,False
2016-05-22,2,2,1,3,1,False
2016-05-29,2,2,1,4,1,False
2016-06-05,2,2,1,3,1,False
2016-06-12,1,2,1,2,1,False
2016-06-19,1,3,1,2,1,False
2016-06-26,2,3,1,2,1,False
2016-07-03,1,3,1,2,1,False
2016-07-10,2,2,1,2,1,False
2016-07-17,1,3,1,2,1,False
2016-07-24,1,3,1,2,0,False
2016-07-31,1,2,1,2,1,False
2016-08-07,3,2,1,2,1,False
2016-08-14,1,3,1,2,1,False
2016-08-21,1,3,1,2,1,False
2016-08-28,2,3,1,2,1,False
2016-09-04,2,3,1,2,1,False
2016-09-11,2,3,1,2,1,False
2016-09-18,2,4,1,2,1,False
2016-09-25,1,3,1,2,1,False
2016-10-02,2,3,1,2,1,False
2016-10-09,2,3,1,2,0,False
2016-10-16,2,3,1,2,1,False
2016-10-23,2,3,1,2,1,False
2016-10-30,2,3,1,2,0,False
2016-11-06,1,2,1,2,1,False
2016-11-13,2,3,1,3,1,False
2016-11-20,2,3,1,2,1,False
2016-11-27,2,3,1,2,1,False
2016-12-04,2,3,1,2,1,False
2016-12-11,2,3,1,2,1,False
2016-12-18,1,3,1,2,1,False
2016-12-25,1,3,1,2,1,False
2017-01-01,2,3,1,2,1,False
2017-01-08,2,4,1,2,1,False
2017-01-15,2,3,1,2,1,False
2017-01-22,2,3,1,3,1,False
2017-01-29,2,3,1,2,1,False
2017-02-05,2,3,1,2,1,False
2017-02-12,2,4,1,2,1,False
2017-02-19,3,3,1,3,1,False
2017-02-26,3,3,1,3,1,False
2017-03-05,3,2,1,3,1,False
2017-03-12,2,3,1,3,1,False
2017-03-19,4,2,1,2,1,False
2017-03-26,3,2,1,3,1,False
2017-04-02,3,3,1,3,1,False
2017-04-09,3,2,1,3,1,False
2017-04-16,3,3,1,3,1,False
2017-04-23,3,2,1,3,1,False
2017-04-30,3,2,1,3,2,False
2017-05-07,4,3,1,3,1,False
2017-05-14,3,2,1,3,1,False
2017-05-21,3,3,1,4,1,False
2017-05-28,3,3,1,3,1,False
2017-06-04,2,2,1,3,2,False
2017-06-11,3,2,1,3,1,False
2017-06-18,3,3,1,3,1,False
2017-06-25,3,3,1,4,1,False
2017-07-02,3,3,1,2,1,False
2017-07-09,3,2,1,3,2,False
2017-07-16,3,3,1,3,1,False
2017-07-23,3,3,1,4,1,False
2017-07-30,3,3,2,3,1,False
2017-08-06,3,3,1,2,1,False
2017-08-13,3,2,1,3,1,False
2017-08-20,2,2,1,3,1,False
2017-08-27,3,2,1,4,1,False
2017-09-03,2,2,1,2,1,False
2017-09-10,2,3,1,2,1,False
2017-09-17,3,2,1,3,1,False
2017-09-24,2,3,1,3,1,False
2017-10-01,3,3,1,2,1,False
2017-10-08,3,2,1,3,1,False
2017-10-15,4,3,1,3,1,False
2017-10-22,3,3,1,3,1,False
2017-10-29,3,3,0,3,1,False
2017-11-05,3,2,1,4,2,False
2017-11-12,4,3,1,3,2,False
2017-11-19,3,2,1,3,1,False
2017-11-26,3,3,1,3,2,False
2017-12-03,3,3,1,4,1,False
2017-12-10,4,3,1,3,2,False
2017-12-17,3,3,1,2,1,False
2017-12-24,3,3,1,3,1,False
2017-12-31,3,2,1,3,1,False
2018-01-07,3,3,1,4,1,False
2018-01-14,4,2,1,2,1,False
2018-01-21,4,3,1,3,2,False
2018-01-28,4,3,1,3,2,False
2018-02-04,4,3,1,3,2,False
2018-02-11,4,2,1,3,1,False
2018-02-18,4,3,1,3,1,False
2018-02-25,4,3,2,3,1,False
2018-03-04,3,3,1,3,1,False
2018-03-11,5,3,1,3,1,False
2018-03-18,4,3,1,3,1,False
2018-03-25,3,3,1,3,2,False
2018-04-01,4,3,1,3,2,False
2018-04-08,3,5,1,3,1,False
2018-04-15,4,3,1,3,1,False
2018-04-22,4,2,1,3,1,False
2018-04-29,3,4,1,3,2,False
2018-05-06,4,2,1,3,1,False
2018-05-13,3,2,1,3,1,False
2018-05-20,5,3,1,2,2,False
2018-05-27,5,2,1,4,1,False
2018-06-03,4,4,1,2,1,False
2018-06-10,3,2,1,2,1,False
2018-06-17,4,4,1,2,1,False
2018-06-24,4,3,0,3,1,False
2018-07-01,5,2,1,3,1,False
2018-07-08,5,4,1,3,1,False
2018-07-15,4,3,1,2,2,False
2018-07-22,5,3,1,2,1,False
2018-07-29,4,3,1,4,1,False
2018-08-05,4,3,1,3,1,False
2018-08-12,3,3,1,3,1,False
2018-08-19,6,3,1,3,1,False
2018-08-26,4,3,1,2,1,False
2018-09-02,3,2,1,2,1,False
2018-09-09,4,3,1,2,1,False
2018-09-16,4,3,1,2,1,False
2018-09-23,4,3,1,2,1,False
2018-09-30,4,3,1,1,2,False
2018-10-07,4,3,1,3,2,False
2018-10-14,5,3,1,3,1,False
2018-10-21,3,3,0,3,1,False
2018-10-28,4,3,2,2,1,False
2018-11-04,4,2,0,2,1,False
2018-11-11,4,2,1,3,1,False
2018-11-18,4,3,1,3,1,False
2018-11-25,4,4,1,2,1,False
2018-12-02,4,3,1,3,2,False
2018-12-09,3,2,1,3,1,False
2018-12-16,3,4,2,3,1,False
2018-12-23,4,2,2,5,1,False
2018-12-30,3,3,1,4,1,False
2019-01-06,4,3,1,3,1,False
2019-01-13,4,4,2,3,1,False
2019-01-20,4,2,1,3,2,False
2019-01-27,5,4,1,3,1,False
2019-02-03,5,2,1,3,1,False
2019-02-10,5,3,1,2,1,False
2019-02-17,4,3,1,2,1,False
2019-02-24,4,4,1,3,1,False
2019-03-03,4,3,1,3,1,False
2019-03-10,5,2,1,3,1,False
2019-03-17,4,3,1,3,1,False
2019-03-24,5,3,1,2,3,False
2019-03-31,4,4,1,3,1,False
2019-04-07,4,2,1,2,1,False
2019-04-14,4,3,1,3,1,False
2019-04-21,4,4,1,3,1,False
2019-04-28,4,4,1,3,1,False
2019-05-05,4,3,1,3,0,False
2019-05-12,3,3,1,4,0,False
2019-05-19,5,3,0,3,1,False
2019-05-26,4,3,1,4,1,False
2019-06-02,4,3,1,3,1,False
2019-06-09,3,0,0,3,0,True
