date,derivatives,headlines,profit,isPartial
2014-06-15,5,14,27,False
2014-06-22,4,13,17,False
2014-06-29,5,16,25,False
2014-07-06,4,14,19,False
2014-07-13,4,6,11,False
2014-07-20,4,11,22,False
2014-07-27,13,17,13,False
2014-08-03,5,21,5,False
2014-08-10,12,14,14,False
2014-08-17,4,17,19,False
2014-08-24,4,4,19,False
2014-08-31,6,8,18,False
2014-09-07,6,15,19,False
2014-09-14,4,12,37,False
2014-09-21,4,24,36,False
2014-09-28,4,18,24,False
2014-10-05,4,17,17,False
2014-10-12,0,17,19,False
2014-10-19,4,8,20,False
2014-10-26,0,10,18,False
2014-11-02,0,13,42,False
2014-11-09,4,14,22,False
2014-11-16,4,10,20,False
2014-11-23,4,6,23,False
2014-11-30,4,14,18,False
2014-12-07,0,10,23,False
2014-12-14,5,20,20,False
2014-12-21,5,21,8,False
2014-12-28,5,19,12,False
2015-01-04,4,15,28,False
2015-01-11,9,30,13,False
2015-01-18,4,11,22,False
2015-01-25,4,13,24,False
2015-02-01,4,15,37,False
2015-02-08,4,7,25,False
2015-02-15,0,14,37,False
2015-02-22,8,17,23,False
2015-03-01,0,13,22,False
2015-03-08,0,15,21,False
2015-03-15,4,27,24,False
2015-03-22,0,20,15,False
2015-03-29,0,14,23,False
2015-04-05,5,24,24,False
2015-04-12,12,33,30,False
2015-04-19,9,18,21,False
2015-04-26,4,11,35,False
2015-05-03,7,26,43,False
2015-05-10,8,15,25,False
2015-05-17,15,20,26,False
2015-05-24,5,19,19,False
2015-05-31,0,11,16,False
2015-06-07,5,11,21,False
2015-06-14,5,31,13,False
2015-06-21,10,21,18,False
2015-06-28,17,14,22,False
2015-07-05,5,13,19,False
2015-07-12,5,8,44,False
2015-07-19,6,14,36,False
2015-07-26,0,27,16,False
2015-08-02,5,13,11,False
2015-08-09,0,8,16,False
2015-08-16,5,40,27,False
2015-08-23,5,18,15,False
2015-08-30,0,30,23,False
2015-09-06,0,15,10,False
2015-09-13,0,15,22,False
2015-09-20,5,37,32,False
2015-09-27,7,9,35,False
2015-10-04,0,22,22,False
2015-10-11,0,42,25,False
2015-10-18,0,17,24,False
2015-10-25,5,14,28,False
2015-11-01,5,23,34,False
2015-11-08,4,16,18,False
2015-11-15,4,17,23,False
2015-11-22,0,20,20,False
2015-11-29,0,13,18,False
2015-12-06,0,34,20,False
2015-12-13,0,21,17,False
2015-12-20,0,20,17,False
2015-12-27,0,8,28,False
2016-01-03,7,19,37,False
2016-01-10,4,26,31,False
2016-01-17,9,9,25,False
2016-01-24,0,20,35,False
2016-01-31,8,8,45,False
2016-02-07,16,8,22,False
2016-02-14,7,13,24,False
2016-02-21,6,12,20,False
2016-02-28,9,13,15,False
2016-03-06,5,6,13,False
2016-03-13,8,8,13,False
2016-03-20,3,17,8,False
2016-03-27,6,13,15,False
2016-04-03,6,15,21,False
2016-04-10,9,17,13,False
2016-04-17,8,14,23,False
2016-04-24,4,31,19,False
2016-05-01,9,17,46,False
2016-05-08,9,18,32,False
2016-05-15,5,21,21,False
2016-05-22,5,25,25,False
2016-05-29,5,22,42,False
2016-06-05,4,8,19,False
2016-06-12,11,15,11,False
2016-06-19,7,18,18,False
2016-06-26,8,13,15,False
2016-07-03,10,23,13,False
2016-07-10,6,11,24,False
2016-07-17,13,8,13,False
2016-07-24,13,13,17,False
2016-07-31,8,10,18,False
2016-08-07,12,12,12,False
2016-08-14,13,20,15,False
2016-08-21,13,24,13,False
2016-08-28,19,22,19,False
2016-09-04,10,8,25,False
2016-09-11,10,23,28,False
2016-09-18,10,23,19,False
2016-09-25,17,17,12,False
2016-10-02,19,13,13,False
2016-10-09,5,30,15,False
2016-10-16,8,19,19,False
2016-10-23,13,17,12,False
2016-10-30,5,29,18,False
2016-11-06,3,32,13,False
2016-11-13,3,32,20,False
2016-11-20,8,17,17,False
2016-11-27,8,19,14,False
2016-12-04,9,23,19,False
2016-12-11,4,25,18,False
2016-12-18,8,10,16,False
2016-12-25,18,12,24,False
2017-01-01,7,29,20,False
2017-01-08,16,9,7,False
2017-01-15,12,27,24,False
2017-01-22,11,15,15,False
2017-01-29,6,19,18,False
2017-02-05,7,27,23,False
2017-02-12,7,27,21,False
2017-02-19,14,35,21,False
2017-02-26,0,17,32,False
2017-03-05,10,25,25,False
2017-03-12,5,43,20,False
2017-03-19,5,29,29,False
2017-03-26,0,29,24,False
2017-04-02,10,31,41,False
2017-04-09,5,40,24,False
2017-04-16,0,45,29,False
2017-04-23,11,26,45,False
2017-04-30,11,26,34,False
2017-05-07,5,31,19,False
2017-05-14,6,36,18,False
2017-05-21,12,18,30,False
2017-05-28,0,49,26,False
2017-06-04,0,46,37,False
2017-06-11,0,21,25,False
2017-06-18,6,33,27,False
2017-06-25,14,21,21,False
2017-07-02,0,19,35,False
2017-07-09,8,30,38,False
2017-07-16,0,37,52,False
