date,bribery,insider trading,bankruptcy,isPartial
2014-06-15,10,10,18,False
2014-06-22,9,2,16,False
2014-06-29,4,0,10,False
2014-07-06,4,4,20,False
2014-07-13,4,6,14,False
2014-07-20,2,6,16,False
2014-07-27,4,2,20,False
2014-08-03,3,4,11,False
2014-08-10,5,5,14,False
2014-08-17,2,2,15,False
2014-08-24,2,10,19,False
2014-08-31,2,2,21,False
2014-09-07,3,2,20,False
2014-09-14,3,3,17,False
2014-09-21,7,2,19,False
2014-09-28,0,5,24,False
2014-10-05,2,2,14,False
2014-10-12,2,2,16,False
2014-10-19,3,3,20,False
2014-10-26,2,4,10,False
2014-11-02,0,3,18,False
2014-11-09,4,4,27,False
2014-11-16,2,2,13,False
2014-11-23,4,0,11,False
2014-11-30,2,3,14,False
2014-12-07,2,8,15,False
2014-12-14,2,4,6,False
2014-12-21,3,0,14,False
2014-12-28,0,2,7,False
2015-01-04,6,4,16,False
2015-01-11,2,6,21,False
2015-01-18,2,5,22,False
2015-01-25,4,5,15,False
2015-02-01,5,3,22,False
2015-02-08,5,3,19,False
2015-02-15,3,2,11,False
2015-02-22,2,5,10,False
2015-03-01,4,2,27,False
2015-03-08,9,0,15,False
2015-03-15,8,2,17,False
2015-03-22,7,2,29,False
2015-03-29,0,0,13,False
2015-04-05,4,2,17,False
2015-04-12,2,2,25,False
2015-04-19,6,3,16,False
2015-04-26,2,2,17,False
2015-05-03,6,3,17,False
2015-05-10,2,2,22,False
2015-05-17,4,2,15,False
2015-05-24,6,7,14,False
2015-05-31,4,4,25,False
2015-06-07,2,5,11,False
2015-06-14,2,4,20,False
2015-06-21,5,2,17,False
2015-06-28,0,2,22,False
2015-07-05,2,4,22,False
2015-07-12,4,5,41,False
2015-07-19,2,2,28,False
2015-07-26,7,5,21,False
2015-08-02,6,2,31,False
2015-08-09,10,2,24,False
2015-08-16,5,5,31,False
2015-08-23,2,5,13,False
2015-08-30,2,2,13,False
2015-09-06,2,2,20,False
2015-09-13,4,2,31,False
2015-09-20,3,2,18,False
2015-09-27,4,6,24,False
