Date,RUA Close,Risk-Free TNX
9/10/87,178.830002,9.42
9/11/87,181.339996,9.33
9/14/87,181.789993,9.34
9/15/87,179.270004,9.44
9/16/87,177.889999,9.52
9/17/87,177.839996,9.48
9/18/87,177.690002,9.38
9/21/87,175.479996,9.45
9/22/87,179.419998,9.37
9/23/87,180.520004,9.4
9/24/87,179.970001,9.51
9/25/87,180.229996,9.53
9/28/87,181.660004,9.52
9/29/87,181.660004,9.64
9/30/87,181.380005,9.63
10/1/87,184.139999,9.66
10/2/87,184.699997,9.6
10/5/87,184.800003,9.69
10/6/87,180.490005,9.72
10/7/87,179.889999,9.71
10/8/87,177.600006,9.86
10/9/87,176.070007,9.94
10/12/87,174.850006,null
10/13/87,177.25,9.9
10/14/87,172.699997,10.13
10/15/87,168.990005,10.18
10/16/87,160.679993,10.23
10/19/87,131.039993,10.15
10/20/87,133.529999,9.4
10/21/87,145.330002,9.3
10/22/87,139.610001,8.97
10/23/87,138.949997,8.98
10/26/87,127.379997,8.8
10/27/87,129.580002,8.92
10/28/87,129.330002,9.01
10/29/87,135.570007,8.89
10/30/87,140.320007,8.88
11/2/87,142.25,8.98
11/3/87,139.589996,8.91
11/4/87,138.710007,8.85
11/5/87,141.580002,8.72
11/6/87,139.910004,8.76
11/9/87,136.320007,8.78
11/10/87,133.979996,8.79
11/11/87,135.350006,null
11/12/87,138.710007,8.8
11/13/87,137.470001,8.84
11/16/87,137.910004,8.82
11/17/87,135.880005,8.86
11/18/87,137.130005,8.85
11/19/87,134.360001,8.83
11/20/87,135.050003,8.79
11/23/87,135.580002,8.8
11/24/87,137.339996,8.89
11/25/87,136.449997,8.98
11/27/87,134.729996,9.11
11/30/87,129.300003,8.99
12/1/87,130.009995,9.01
12/2/87,130.639999,9.01
12/3/87,126.550003,8.94
12/4/87,125.260002,8.94
12/7/87,127.400002,9.07
12/8/87,130.410004,9.09
12/9/87,132.630005,9.05
12/10/87,130.309998,9.23
12/11/87,131.100006,9.28
12/14/87,134.679993,9.23
12/15/87,135.270004,9.09
12/16/87,138.119995,9
12/17/87,136.029999,9.03
12/18/87,139.25,8.89
12/21/87,139.619995,8.88
12/22/87,139.600006,8.95
12/23/87,141.369995,8.83
12/24/87,140.940002,8.82
12/28/87,137.589996,8.93
12/29/87,137.070007,8.85
12/30/87,138.820007,8.78
12/31/87,138.679993,8.83
1/4/88,143.199997,8.83
1/5/88,144.929993,8.76
1/6/88,145.289993,8.82
1/7/88,146.350006,8.83
1/8/88,137.779999,8.97
1/11/88,139.229996,8.94
1/12/88,138.009995,8.93
1/13/88,138.279999,8.87
1/14/88,138.389999,8.86
1/15/88,141.589996,8.6
1/18/88,141.679993,null
1/19/88,140.639999,8.65
1/20/88,137.160004,8.61
1/21/88,137.460007,8.53
1/22/88,139.190002,8.49
1/25/88,141.960007,8.45
1/26/88,140.789993,8.54
1/27/88,140.710007,8.38
1/28/88,142.639999,8.33
1/29/88,144.539993,8.26
2/1/88,143.949997,8.26
2/2/88,144.220001,8.18
2/3/88,142.639999,8.21
2/4/88,142.550003,8.24
2/5/88,142.139999,8.12
2/8/88,141.179993,8.19
2/9/88,142.330002,8.16
2/10/88,144.910004,8.11
2/11/88,144.759995,8.16
2/12/88,145.630005,8.28
2/16/88,146.649994,8.31
2/17/88,146.470001,8.32
2/18/88,145.919998,8.28
2/19/88,147.679993,8.26
2/22/88,149.619995,8.24
2/23/88,149.509995,8.17
2/24/88,149.490005,8.18
2/25/88,148.380005,8.23
2/26/88,148.75,8.18
2/29/88,151.429993,8.16
3/1/88,151.229996,8.15
3/2/88,151.850006,8.13
3/3/88,151.979996,8.12
3/4/88,151.759995,8.28
3/7/88,151.869995,8.3
3/8/88,152.949997,8.33
3/9/88,152.949997,8.32
3/10/88,150.360001,8.35
3/11/88,150.699997,8.29
3/14/88,151.369995,8.29
3/15/88,151.300003,8.3
3/16/88,152.610001,8.36
3/17/88,154,8.3
3/18/88,153.919998,8.41
3/21/88,152.690002,8.47
3/22/88,152.830002,8.46
3/23/88,153.029999,8.47
3/24/88,150.210007,8.51
3/25/88,147.839996,8.47
3/28/88,147.279999,8.58
3/29/88,148.389999,8.56
3/30/88,147.419998,8.57
3/31/88,147.970001,8.57
4/4/88,146.440002,8.68
4/5/88,147.529999,8.67
4/6/88,150.850006,8.61
4/7/88,151.360001,8.6
4/8/88,153.080002,8.52
4/11/88,153.529999,8.59
4/12/88,154.179993,8.57
4/13/88,154.210007,8.56
4/14/88,148.240005,8.67
4/15/88,148.070007,8.74
4/18/88,147.839996,8.81
4/19/88,147.369995,8.81
4/20/88,146.320007,8.83
4/21/88,146.350006,8.82
4/22/88,148.050003,8.78
4/25/88,149.160004,8.78
4/26/88,149.990005,8.8
4/27/88,150.029999,8.8
4/28/88,149.529999,8.86
4/29/88,149.139999,8.87
5/2/88,149.169998,8.94
5/3/88,149.919998,8.89
5/4/88,148.75,8.9
5/5/88,147.970001,8.92
5/6/88,147.350006,9.01
5/9/88,146.679993,9.03
5/10/88,147.050003,9.07
5/11/88,144.720001,9.05
5/12/88,145.089996,9.04
5/13/88,146.570007,9
5/16/88,147.429993,9.01
5/17/88,146,9.12
5/18/88,143.839996,9.19
5/19/88,144.259995,9.18
5/20/88,144.509995,9.22
5/23/88,143.369995,9.23
5/24/88,144.660004,9.22
5/25/88,144.940002,9.2
5/26/88,145.460007,9.21
5/27/88,144.919998,9.24
5/31/88,149.089996,9.2
6/1/88,151.550003,9.03
6/2/88,150.899994,9.07
6/3/88,151.580002,8.97
6/6/88,151.949997,8.97
6/7/88,151.169998,9.02
6/8/88,154.279999,8.92
6/9/88,153.860001,8.96
6/10/88,154.429993,8.92
6/13/88,154.539993,8.91
6/14/88,156,8.69
6/15/88,156.160004,8.71
6/16/88,154,8.89
6/17/88,154.320007,9.02
6/20/88,153.509995,9.02
6/21/88,154.809998,9.03
6/22/88,156.869995,8.9
6/23/88,156.649994,8.88
6/24/88,156.289993,8.85
6/27/88,154.119995,8.94
6/28/88,155.649994,8.87
6/29/88,155.080002,8.88
6/30/88,156.520004,8.82
7/1/88,155.820007,8.77
7/5/88,157.580002,8.82
7/6/88,155.860001,8.91
7/7/88,155.699997,8.95
7/8/88,154.910004,9.04
7/11/88,155.110001,9.02
7/12/88,153.820007,9.08
7/13/88,154.449997,9.12
7/14/88,154.929993,9.12
7/15/88,155.720001,9.08
7/18/88,155,9.15
7/19/88,153.850006,9.1
7/20/88,154.5,9.11
7/21/88,152.850006,9.16
7/22/88,151.279999,9.11
7/25/88,151.759995,9.07
7/26/88,152,9.09
7/27/88,150.649994,9.14
7/28/88,152.240005,9.16
7/29/88,155.080002,9.12
8/1/88,155.320007,9.07
8/2/88,155.320007,9
8/3/88,155.809998,9.04
8/4/88,155.399994,8.99
8/5/88,154.940002,9.12
8/8/88,154.389999,9.12
8/9/88,152.539993,9.2
8/10/88,150.039993,9.3
8/11/88,150.410004,9.35
8/12/88,150.300003,9.36
8/15/88,148.289993,9.37
8/16/88,149.240005,9.35
8/17/88,149.380005,9.38
8/18/88,149.589996,9.35
8/19/88,149.300003,9.35
8/22/88,147.639999,9.37
8/23/88,147.649994,9.32
8/24/88,149.580002,9.34
8/25/88,148.630005,9.41
8/26/88,148.889999,9.38
8/29/88,150.229996,9.3
8/30/88,150.389999,9.27
8/31/88,150.059998,9.25
9/1/88,148.410004,9.25
9/2/88,151.309998,9
9/6/88,152.320007,8.99
9/7/88,152.080002,8.99
9/8/88,152.279999,8.99
9/9/88,152.830002,8.93
9/12/88,152.669998,8.97
9/13/88,153.110001,8.94
9/14/88,154.059998,8.88
9/15/88,153.520004,8.91
9/16/88,154.710007,8.93
9/19/88,153.889999,8.97
9/20/88,154.360001,8.97
9/21/88,154.619995,8.93
9/22/88,154.149994,8.95
9/23/88,154.440002,8.97
9/26/88,153.940002,9
9/27/88,153.630005,9.04
9/28/88,154.029999,9.06
9/29/88,155.779999,8.98
9/30/88,155.690002,8.87
10/3/88,155.199997,8.84
10/4/88,154.889999,8.87
10/5/88,155.529999,8.87
10/6/88,155.820007,8.87
10/7/88,158.449997,8.7
10/10/88,158.520004,null
10/11/88,158.369995,8.75
10/12/88,156.380005,8.84
10/13/88,156.949997,8.84
10/14/88,157.089996,8.81
10/17/88,157.470001,8.79
10/18/88,158.839996,8.78
10/19/88,157.740005,8.82
10/20/88,160.529999,8.79
10/21/88,160.860001,8.83
10/24/88,160.289993,8.83
10/25/88,160.25,8.83
10/26/88,159.699997,8.79
10/27/88,157.539993,8.72
10/28/88,158.169998,8.69
10/31/88,158.360001,8.65
11/1/88,158.380005,8.68
11/2/88,158.320007,8.73
11/3/88,158.449997,8.69
11/4/88,157.100006,8.85
11/7/88,155.679993,8.91
11/8/88,156.330002,8.91
11/9/88,155.419998,8.91
11/10/88,155.600006,8.9
11/11/88,152.729996,null
11/14/88,152.470001,8.91
11/15/88,152.720001,8.92
11/16/88,150.320007,9
11/17/88,150.559998,9.06
11/18/88,151.429993,9.05
11/21/88,151.130005,9.04
11/22/88,151.550003,9.09
11/23/88,152.509995,9.08
11/25/88,151.630005,9.17
11/28/88,152.259995,9.16
11/29/88,153.460007,9.13
11/30/88,154.979996,9.06
12/1/88,154.610001,9.01
12/2/88,154.320007,9.18
12/5/88,155.759995,9.13
12/6/88,157.050003,8.95
12/7/88,157.360001,9
12/8/88,156.589996,9.02
12/9/88,156.809998,9.07
12/12/88,156.550003,9.08
12/13/88,156.410004,9.15
12/14/88,155.889999,9.19
12/15/88,155.440002,9.19
12/16/88,156.479996,9.17
12/19/88,157.639999,9.15
12/20/88,157.080002,9.08
12/21/88,156.990005,9.07
12/22/88,156.830002,9.07
12/23/88,157.389999,9.05
12/27/88,156.899994,9.13
12/28/88,157.119995,9.21
12/29/88,158.279999,9.18
12/30/88,157.809998,9.14
1/3/89,156.559998,9.23
1/4/89,158.669998,9.22
1/5/89,159,9.27
1/6/89,159.470001,9.25
1/9/89,159.679993,9.23
1/10/89,159.380005,9.24
1/11/89,160.100006,9.24
1/12/89,160.699997,9.14
1/13/89,161.009995,9.06
1/16/89,161.220001,null
1/17/89,160.860001,9.06
1/18/89,162.369995,8.99
1/19/89,162.699997,9
1/20/89,162.570007,9.03
1/23/89,161.509995,9
1/24/89,163.339996,8.93
1/25/89,163.770004,8.99
1/26/89,165.119995,8.99
1/27/89,166.259995,8.95
1/30/89,166.889999,9
1/31/89,168.179993,9.01
2/1/89,168.160004,8.99
2/2/89,168.179993,8.98
